Year,State,HAI,Facility_ID,Facility_Name,County,Facility_Category,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,SIR_2015,Notes
2016,California,Clostridium difficile Infection (CDI),230000014,Oroville Hospital,Butte,General Acute Care Hospital,Community (125-250 Beds),20,24.29,41827,0.82,0.52,1.25,Same,0.45,
2016,California,Clostridium difficile Infection (CDI),030000120,Mark Twain Medical Center,Calaveras,Critical Access Hospital,Critical Access,1,1.43,3612,0.7,0.04,3.44,Same,0.64,
2016,California,Clostridium difficile Infection (CDI),140000195,Contra Costa Regional Medical Center,Contra Costa,General Acute Care Hospital,Community (125-250 Beds),16,19.8,37005,0.81,0.48,1.28,Same,1.12,
2016,California,Clostridium difficile Infection (CDI),140000196,John Muir Medical Center - Concord Campus,Contra Costa,General Acute Care Hospital,Community (125-250 Beds),50,38.13,50703,1.31,0.98,1.72,Same,1.15,
2016,California,Clostridium difficile Infection (CDI),140000187,John Muir Medical Center - Walnut Creek Campus,Contra Costa,General Acute Care Hospital,Community (>250 Beds),80,66.75,78658,1.2,0.96,1.48,Same,1.04,
2016,California,Clostridium difficile Infection (CDI),140000187,"John Muir Medical Center - Walnut Creek Campus, Rehabilitation Unit",Contra Costa,Rehabilitation Hospital or Unit,Rehabilitation Unit,2,4.16,7809,0.48,0.08,1.59,Same,0.23,
2016,California,Clostridium difficile Infection (CDI),630011203,"Kaiser Foundation Hospital, Antioch",Contra Costa,General Acute Care Hospital,Community (125-250 Beds),12,17.53,25874,0.69,0.37,1.16,Same,1.25,
2016,California,Clostridium difficile Infection (CDI),140000190,"Kaiser Foundation Hospital, Walnut Creek",Contra Costa,General Acute Care Hospital,Community (125-250 Beds),45,37.12,47152,1.21,0.9,1.61,Same,1.42,
2016,California,Clostridium difficile Infection (CDI),140000704,San Ramon Regional Medical Center,Contra Costa,General Acute Care Hospital,Community (<125 Beds),2,7.37,18915,0.27,0.05,0.9,Better,1.94,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Clostridium difficile Infection (CDI),140000016,Sutter Delta Medical Center,Contra Costa,General Acute Care Hospital,Community (125-250 Beds),20,14.44,27824,1.39,0.87,2.1,Same,1.09,
2016,California,Clostridium difficile Infection (CDI),110000049,Sutter Coast Hospital,Del Norte,General Acute Care Hospital,Community (<125 Beds),2,4.35,6990,0.46,0.08,1.52,Same,4.13,
2016,California,Clostridium difficile Infection (CDI),110000049,"Sutter Coast Hospital, Rehabilitation Unit",Del Norte,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.51,1284,1.96,0.05,10.92,Same, ,¥ See Data Dictionary
2016,California,Clostridium difficile Infection (CDI),030000114,Barton Memorial Hospital,El Dorado,General Acute Care Hospital,Community (<125 Beds),1,2.22,6626,0.45,0.02,2.22,Same,1,
2016,California,Clostridium difficile Infection (CDI),030000121,Marshall Medical Center,El Dorado,General Acute Care Hospital,Community (<125 Beds),40,28.91,21146,1.38,1,1.87,Same,1.1,
2016,California,Clostridium difficile Infection (CDI),040000124,Adventist Medical Center - Reedley,Fresno,General Acute Care Hospital,Community (<125 Beds),0,1.25,4423,0,0,2.39,Same,0,
2016,California,Clostridium difficile Infection (CDI),040000122,Adventist Medical Center - Selma,Fresno,General Acute Care Hospital,Community (<125 Beds),2,2.14,6729,0.94,0.16,3.09,Same,1.36,
2016,California,Clostridium difficile Infection (CDI),040000095,Clovis Community Medical Center,Fresno,General Acute Care Hospital,Community (125-250 Beds),42,38.69,58802,1.09,0.79,1.45,Same,1,
2016,California,Clostridium difficile Infection (CDI),040000096,Coalinga Regional Medical Center,Fresno,General Acute Care Hospital,Community (<125 Beds),0,0.08,463, , , ,, ,
2016,California,Clostridium difficile Infection (CDI),040000101,Community Regional Medical Center,Fresno,General Acute Care Hospital,Major Teaching,184,132.85,172821,1.39,1.2,1.6,Worse,1.17,
2016,California,Clostridium difficile Infection (CDI),040000101,"Community Regional Medical Center, Rehabilitation Unit",Fresno,Rehabilitation Hospital or Unit,Rehabilitation Unit,3,4.99,9376,0.6,0.15,1.64,Same,0.41,
2016,California,Clostridium difficile Infection (CDI),040001397,Fresno Heart and Surgical Hospital,Fresno,General Acute Care Hospital,Community (<125 Beds),13,6.44,11680,2.02,1.12,3.37,Worse,2.11,
2016,California,Clostridium difficile Infection (CDI),040000254,Fresno Surgical Hospital,Fresno,General Acute Care Hospital,Community (<125 Beds),0,0.49,3254,0,0,7.58,Same,0,¥ See Data Dictionary
2016,California,Clostridium difficile Infection (CDI),040000949,"Kaiser Foundation Hospital, Fresno",Fresno,General Acute Care Hospital,Community (125-250 Beds),10,19.66,28665,0.51,0.26,0.91,Better,1.11,
2016,California,Clostridium difficile Infection (CDI),040000126,Saint Agnes Medical Center,Fresno,General Acute Care Hospital,Community (>250 Beds),63,67.16,93900,0.94,0.73,1.19,Same,0.58,
2016,California,Clostridium difficile Infection (CDI),040000613,San Joaquin Valley Rehabilitation Hospital,Fresno,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,2,7.95,18461,0.25,0.04,0.83,Better,0,
2016,California,Clostridium difficile Infection (CDI),230000006,Glenn Medical Center,Glenn,Critical Access Hospital,Critical Access,0,0.32,1431,0,0,11.67,Same,0,¥ See Data Dictionary
2016,California,Clostridium difficile Infection (CDI),110000057,Jerold Phelps Community Hospital,Humboldt,Critical Access Hospital,Critical Access,0,0.29,1332,0,0,12.54,Same, ,¥ See Data Dictionary
2016,California,Clostridium difficile Infection (CDI),110000021,Mad River Community Hospital,Humboldt,General Acute Care Hospital,Community (<125 Beds),2,3.21,8935,0.62,0.1,2.06,Same,0,
2016,California,Clostridium difficile Infection (CDI),110000045,Redwood Memorial Hospital,Humboldt,Critical Access Hospital,Critical Access,1,1.76,5554,0.57,0.03,2.81,Same,0,
2016,California,Clostridium difficile Infection (CDI),110000067,"St. Joseph Hospital, Eureka",Humboldt,General Acute Care Hospital,Community (125-250 Beds),14,18.61,29655,0.75,0.43,1.23,Same,1.4,
2016,California,Clostridium difficile Infection (CDI),110000069,The General Hospital,Humboldt,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,2,0.97,2329,2.07,0.25,7.48,Same,2.62,¥ See Data Dictionary
2016,California,Clostridium difficile Infection (CDI),090000040,El Centro Regional Medical Center,Imperial,General Acute Care Hospital,Community (<125 Beds),14,13.37,20954,1.05,0.6,1.72,Same,1.1,
2016,California,Clostridium difficile Infection (CDI),090000146,Pioneers Memorial Healthcare District,Imperial,General Acute Care Hospital,Community (<125 Beds),17,12.17,19425,1.4,0.84,2.19,Same,1.35,
2016,California,Clostridium difficile Infection (CDI),240000037,Northern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,4,1.59,3496,2.52,0.8,6.08,Same,0.63,
2016,California,Clostridium difficile Infection (CDI),240000102,Southern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,0,0,9, , , ,, ,
2016,California,Clostridium difficile Infection (CDI),120000413,Adventist Health Medical Center Tehachapi Valley,Kern,Critical Access Hospital,Critical Access,0,1.21,5490,0,0,2.47,Same,0.63,
2016,California,Clostridium difficile Infection (CDI),120001330,Bakersfield Heart Hospital,Kern,General Acute Care Hospital,Community (<125 Beds),11,8.88,13315,1.24,0.65,2.15,Same,0.59,
2016,California,Clostridium difficile Infection (CDI),120000338,Bakersfield Memorial Hospital,Kern,General Acute Care Hospital,Community (>250 Beds),41,41.22,53828,1,0.72,1.34,Same,0.96,
2016,California,Clostridium difficile Infection (CDI),120000336,Delano Regional Medical Center,Kern,General Acute Care Hospital,Community (<125 Beds),0,3.47,8382,0,0,0.86,Better,2.66,
2016,California,Clostridium difficile Infection (CDI),120000319,"Good Samaritan Hospital, Bakersfield",Kern,General Acute Care Hospital,Community (<125 Beds),1,1.36,5717,0.74,0.04,3.64,Same,0.6,
2016,California,Clostridium difficile Infection (CDI),120000555,Healthsouth Bakersfield Rehabilitation Hospital,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,7,5.88,22533,1.19,0.52,2.35,Same,0.51,
2016,California,Clostridium difficile Infection (CDI),120000342,Kern Medical Center,Kern,General Acute Care Hospital,Major Teaching,8,17.01,39421,0.47,0.22,0.89,Better,0.43,
2016,California,Clostridium difficile Infection (CDI),120000344,Kern Valley Healthcare District,Kern,Critical Access Hospital,Critical Access,2,0.62,2821,3.21,0.39,11.6,Same,1.41,¥ See Data Dictionary
2016,California,Clostridium difficile Infection (CDI),120000404,Mercy Hospital,Kern,General Acute Care Hospital,Community (<125 Beds),9,15.95,21353,0.56,0.28,1.04,Same,0.75,
2016,California,Clostridium difficile Infection (CDI),120000701,Mercy Southwest Hospital,Kern,General Acute Care Hospital,Community (<125 Beds),9,13.73,21754,0.66,0.32,1.2,Same,0.62,
2016,California,Clostridium difficile Infection (CDI),120000409,Ridgecrest Regional Hospital,Kern,Critical Access Hospital,Critical Access,6,2.89,6358,2.08,0.84,4.32,Same,1.09,
2016,California,Clostridium difficile Infection (CDI),120000411,San Joaquin Community Hospital,Kern,General Acute Care Hospital,Community (>250 Beds),52,55.63,71694,0.94,0.71,1.22,Same,1.13,
2016,California,Clostridium difficile Infection (CDI),630012960,Adventist Medical Center,Kings,General Acute Care Hospital,Community (125-250 Beds),30,28.21,38515,1.06,0.73,1.5,Same,0.85,
2016,California,Clostridium difficile Infection (CDI),110000044,St. Helena Hospital - Clearlake,Lake,Critical Access Hospital,Critical Access,0,1.48,5197,0,0,2.03,Same,0.69,
2016,California,Clostridium difficile Infection (CDI),110000019,Sutter Lakeside Hospital,Lake,Critical Access Hospital,Critical Access,4,2.76,6074,1.45,0.46,3.5,Same,3.09,
2016,California,Clostridium difficile Infection (CDI),230000008,Banner Lassen Medical Center,Lassen,Critical Access Hospital,Critical Access,3,1.69,3717,1.78,0.45,4.84,Same,0,
2016,California,Clostridium difficile Infection (CDI),930000005,Alhambra Hospital Medical Center,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),18,18.13,20159,0.99,0.61,1.54,Same,1.17,
2016,California,Clostridium difficile Infection (CDI),930000005,"Alhambra Hospital Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,2,2.15,4044,0.93,0.16,3.07,Same,1,
2016,California,Clostridium difficile Infection (CDI),930000008,Antelope Valley Hospital,Los Angeles,General Acute Care Hospital,Community (>250 Beds),63,55.9,83739,1.13,0.87,1.43,Same,1.25,
2016,California,Clostridium difficile Infection (CDI),930000014,Barlow Respiratory Hospital,Los Angeles,Long-term Acute Care Hospital,LTAC,31,40.49,24310,0.77,0.53,1.07,Same,1.16,
2016,California,Clostridium difficile Infection (CDI),930000012,Beverly Hospital,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),33,20.38,37086,1.62,1.13,2.25,Worse,1.67,
2016,California,Clostridium difficile Infection (CDI),930000002,California Hospital Medical Center - Los Angeles,Los Angeles,General Acute Care Hospital,Major Teaching,15,31.26,71281,0.48,0.28,0.77,Better,0.34,
2016,California,Clostridium difficile Infection (CDI),930000031,California Rehabilitation Institute,Los Angeles,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,1,2.23,5381,0.45,0.02,2.21,Same, ,
2016,California,Clostridium difficile Infection (CDI),930000020,Casa Colina Hospital,Los Angeles,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,13,9.94,21910,1.31,0.73,2.18,Same,1.36,
2016,California,Clostridium difficile Infection (CDI),930000013,Catalina Island Medical Center,Los Angeles,Critical Access Hospital,Critical Access,0,0.06,265, , , ,, ,
2016,California,Clostridium difficile Infection (CDI),930000004,Cedars-Sinai Medical Center,Los Angeles,General Acute Care Hospital,Major Teaching,254,199.93,248035,1.27,1.12,1.43,Worse,1.36,
2016,California,Clostridium difficile Infection (CDI),930000022,Centinela Hospital Medical Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),43,49.42,61926,0.87,0.64,1.16,Same,0.98,
2016,California,Clostridium difficile Infection (CDI),930000022,"Centinela Hospital Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.85,3480,0.54,0.03,2.66,Same,0.42,
2016,California,Clostridium difficile Infection (CDI),930000034,Children's Hospital Los Angeles,Los Angeles,General Acute Care Hospital,Pediatric,50,45.72,89816,1.09,0.82,1.43,Same,2.13,
2016,California,Clostridium difficile Infection (CDI),930000070,Citrus Valley Medical Center - IC Campus,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),20,19.67,30105,1.02,0.64,1.54,Same,0.56,
2016,California,Clostridium difficile Infection (CDI),930000132,Citrus Valley Medical Center - QV Campus,Los Angeles,General Acute Care Hospital,Community (>250 Beds),31,35.81,51333,0.87,0.6,1.21,Same,0.26,
2016,California,Clostridium difficile Infection (CDI),930000132,"Citrus Valley Medical Center - QV Campus, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,6,1.94,3637,3.1,1.26,6.45,Worse,2.18,
2016,California,Clostridium difficile Infection (CDI),930000036,City of Hope Helford Clinical Research Hospital,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),114,74.96,72136,1.52,1.26,1.82,Worse,1.25,
2016,California,Clostridium difficile Infection (CDI),930000038,Coast Plaza Hospital,Los Angeles,General Acute Care Hospital,Community (<125 Beds),4,7.49,13247,0.53,0.17,1.29,Same,0,
2016,California,Clostridium difficile Infection (CDI),930000114,College Medical Center,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),12,28.04,53896,0.43,0.23,0.73,Better,0.46,
2016,California,Clostridium difficile Infection (CDI),930000082,Community Hospital Long Beach,Los Angeles,General Acute Care Hospital,Community (<125 Beds),20,8.96,15786,2.23,1.4,3.39,Worse,1.25,
2016,California,Clostridium difficile Infection (CDI),930000040,Community Hospital of Huntington Park,Los Angeles,General Acute Care Hospital,Community (<125 Beds),2,2.6,13744,0.77,0.13,2.54,Same,0.38,
2016,California,Clostridium difficile Infection (CDI),930001709,Earl & Loraine Miller Children's Hospital,Los Angeles,General Acute Care Hospital,Pediatric,22,19.85,51048,1.11,0.71,1.65,Same,0.95,
2016,California,Clostridium difficile Infection (CDI),930000053,East Los Angeles Doctors Hospital,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),2,5.19,14419,0.39,0.07,1.27,Same,0.5,
2016,California,Clostridium difficile Infection (CDI),930000054,Encino Hospital Medical Center,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),5,7.8,14530,0.64,0.24,1.42,Same,1.02,
2016,California,Clostridium difficile Infection (CDI),930000056,Foothill Presbyterian Hospital-Johnston Memorial,Los Angeles,General Acute Care Hospital,Community (<125 Beds),15,13.59,20143,1.1,0.64,1.78,Same,0.87,
2016,California,Clostridium difficile Infection (CDI),930000032,Gardens Regional Hospital and Medical Center,Los Angeles,General Acute Care Hospital,Community (<125 Beds),0,3.76,9444,0,0,0.8,Better,0.77,
2016,California,Clostridium difficile Infection (CDI),930000058,Garfield Medical Center,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),44,36.38,48489,1.21,0.89,1.61,Same,1.48,
2016,California,Clostridium difficile Infection (CDI),930000058,"Garfield Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,2,3.52,6611,0.57,0.1,1.88,Same,3.03,
2016,California,Clostridium difficile Infection (CDI),930000059,Glendale Adventist Medical Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),56,60.18,76831,0.93,0.71,1.2,Same,1.04,
2016,California,Clostridium difficile Infection (CDI),930000059,"Glendale Adventist Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,4,3.8,7143,1.05,0.33,2.54,Same,1.04,
2016,California,Clostridium difficile Infection (CDI),930000093,Glendale Memorial Hospital and Health Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),34,35.37,41199,0.96,0.68,1.33,Same,1.25,
2016,California,Clostridium difficile Infection (CDI),930000093,"Glendale Memorial Hospital and Health Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.88,3536,0.53,0.03,2.62,Same,1.67,
2016,California,Clostridium difficile Infection (CDI),930000060,Glendora Community Hospital,Los Angeles,General Acute Care Hospital,Community (<125 Beds),8,2.81,5849,2.85,1.32,5.41,Worse,0.95,
2016,California,Clostridium difficile Infection (CDI),930000068,"Good Samaritan Hospital, Los Angeles",Los Angeles,General Acute Care Hospital,Community (125-250 Beds),29,32.71,51955,0.89,0.61,1.26,Same,1.09,
2016,California,Clostridium difficile Infection (CDI),930000062,Greater El Monte Community Hospital,Los Angeles,General Acute Care Hospital,Community (<125 Beds),4,8.97,15364,0.45,0.14,1.08,Same,0.38,
2016,California,Clostridium difficile Infection (CDI),930000063,Henry Mayo Newhall Hospital,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),50,38.84,48017,1.29,0.97,1.68,Same,0.95,
2016,California,Clostridium difficile Infection (CDI),930000063,"Henry Mayo Newhall Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.85,3469,0.54,0.03,2.67,Same,0,
2016,California,Clostridium difficile Infection (CDI),930000065,Hollywood Presbyterian Medical Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),12,21.44,52869,0.56,0.3,0.95,Better,0.84,
2016,California,Clostridium difficile Infection (CDI),930000065,"Hollywood Presbyterian Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.8,4520,0,0,1.67,Same,0.56,
2016,California,Clostridium difficile Infection (CDI),930000026,Huntington Memorial Hospital,Los Angeles,General Acute Care Hospital,Community (>250 Beds),90,93.67,119403,0.96,0.78,1.18,Same,0.99,
2016,California,Clostridium difficile Infection (CDI),930001543,"Kaiser Foundation Hospital, Baldwin Park",Los Angeles,General Acute Care Hospital,Community (>250 Beds),29,30.01,42307,0.97,0.66,1.37,Same,1.2,
2016,California,Clostridium difficile Infection (CDI),930000074,"Kaiser Foundation Hospital, Downey",Los Angeles,General Acute Care Hospital,Community (>250 Beds),53,52.78,70276,1,0.76,1.3,Same,1.14,
2016,California,Clostridium difficile Infection (CDI),930000072,"Kaiser Foundation Hospital, Los Angeles",Los Angeles,General Acute Care Hospital,Major Teaching,98,76.12,108381,1.29,1.05,1.56,Worse,1.57,
2016,California,Clostridium difficile Infection (CDI),930000050,"Kaiser Foundation Hospital, Panorama City",Los Angeles,General Acute Care Hospital,Community (125-250 Beds),27,21.82,33719,1.24,0.83,1.78,Same,1.04,
2016,California,Clostridium difficile Infection (CDI),930000071,"Kaiser Foundation Hospital, South Bay",Los Angeles,General Acute Care Hospital,Community (>250 Beds),31,29.3,45086,1.06,0.73,1.48,Same,1.94,
2016,California,Clostridium difficile Infection (CDI),930000076,"Kaiser Foundation Hospital, West LA",Los Angeles,General Acute Care Hospital,Community (>250 Beds),27,24.02,36830,1.12,0.76,1.61,Same,1.51,
2016,California,Clostridium difficile Infection (CDI),930000290,"Kaiser Foundation Hospital, Woodland Hills",Los Angeles,General Acute Care Hospital,Community (>250 Beds),35,25.32,35655,1.38,0.98,1.9,Same,1.44,
2016,California,Clostridium difficile Infection (CDI),930000912,Keck Hospital of USC,Los Angeles,General Acute Care Hospital,Major Teaching,69,50.69,79513,1.36,1.07,1.71,Worse,1.43,
2016,California,Clostridium difficile Infection (CDI),930000912,"Keck Hospital of USC, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,2.11,3961,0.47,0.02,2.34,Same,0.99,
2016,California,Clostridium difficile Infection (CDI),930000144,"Kindred Hospital, Baldwin Park",Los Angeles,Long-term Acute Care Hospital,LTAC,34,40.29,26211,0.84,0.59,1.17,Same,0.93,
2016,California,Clostridium difficile Infection (CDI),930000089,"Kindred Hospital, La Mirada",Los Angeles,Long-term Acute Care Hospital,LTAC,33,18.59,18859,1.78,1.24,2.46,Worse,1.65,
2016,California,Clostridium difficile Infection (CDI),930000088,"Kindred Hospital, Los Angeles",Los Angeles,Long-term Acute Care Hospital,LTAC,50,34.16,28581,1.46,1.1,1.91,Worse,1.19,
2016,California,Clostridium difficile Infection (CDI),930000042,"Kindred Hospital, San Gabriel Valley",Los Angeles,Long-term Acute Care Hospital,LTAC,42,22.08,23704,1.9,1.39,2.55,Worse,1.34,
2016,California,Clostridium difficile Infection (CDI),930000039,"Kindred Hospital, South Bay, Gardena",Los Angeles,Long-term Acute Care Hospital,LTAC,27,15.15,14822,1.78,1.2,2.56,Worse,1.18,
2016,California,Clostridium difficile Infection (CDI),060000040,LAC+USC Medical Center,Los Angeles,General Acute Care Hospital,Major Teaching,116,112.29,163654,1.03,0.86,1.23,Same,0.71,
2016,California,Clostridium difficile Infection (CDI),060000027,LAC/Harbor UCLA Medical Center,Los Angeles,General Acute Care Hospital,Major Teaching,66,61.69,91525,1.07,0.83,1.35,Same,0.99,
2016,California,Clostridium difficile Infection (CDI),060000038,LAC/Olive View UCLA Medical Center,Los Angeles,General Acute Care Hospital,Major Teaching,43,34.01,51890,1.26,0.93,1.69,Same,0.81,
2016,California,Clostridium difficile Infection (CDI),060000028,LAC/Rancho Los Amigos National Rehabilitation Center,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),2,7.3,26766,0.27,0.05,0.91,Better,0.2,
2016,California,Clostridium difficile Infection (CDI),060000028,"LAC/Rancho Los Amigos National Rehabilitation Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,3,9.76,20807,0.31,0.08,0.84,Better,0.26,
2016,California,Clostridium difficile Infection (CDI),930000047,Lakewood Regional Medical Center,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),18,18.15,39816,0.99,0.61,1.54,Same,0.77,
2016,California,Clostridium difficile Infection (CDI),930000095,Long Beach Memorial Medical Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),123,75.1,96959,1.64,1.37,1.95,Worse,1.71,
2016,California,Clostridium difficile Infection (CDI),930000095,"Long Beach Memorial Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,5,3.03,6044,1.65,0.61,3.66,Same,2.04,
