Year,State,HAI,Facility_Name1,Facility_Name2,Facility_Name3,FACID1,FACID2,FACID3,County,Hospital_Onset_Cases,Patient_Days,SIR,SIR_95%_CI_Lower_Limit,SIR_95%_CI_Upper_Limit,Comparison,Notes
2013,California,Clostridium difficile Infection (CDI),Community Hospital Long Beach,.,.,930000082,.,.,Los Angeles,11,10878,1.42,0.75,2.47,No Different,
2013,California,Clostridium difficile Infection (CDI),Community Hospital of San Bernardino,.,.,240000082,.,.,San Bernardino,25,25035,1.27,0.84,1.84,No Different,
2013,California,Clostridium difficile Infection (CDI),"Community Hospital of The Monterey Peninsula, Monterey",.,.,070000137,.,.,Monterey,21,44897,0.63,0.4,0.95,Lower,
2013,California,Clostridium difficile Infection (CDI),"Community Memorial Hospital, San Buenaventura, Ventura",.,.,050000014,.,.,Ventura,22,47982,0.72,0.46,1.08,No Different,
2013,California,Clostridium difficile Infection (CDI),"Community Regional Medical Center, Fresno",.,.,040000101,.,.,Fresno,135,168099,0.87,0.73,1.02,No Different,
2013,California,Clostridium difficile Infection (CDI),"Contra Costa Regional Medical Center, Martinez",.,.,140000195,.,.,Contra Costa,13,39584,0.68,0.38,1.13,No Different,
2013,California,Clostridium difficile Infection (CDI),"Corona Regional Medical Center, Campus #1","Corona Regional Medical Center, Campus #2",.,250000006,250000007,.,Riverside,27,29540,1.16,0.78,1.67,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Dameron Hospital, Stockton",.,.,030000117,.,.,San Joaquin,17,27438,0.82,0.49,1.28,No Different,
2013,California,Clostridium difficile Infection (CDI),Delano Regional Medical Center,.,.,120000336,.,.,Kern,5,12301,0.81,0.3,1.79,No Different,
2013,California,Clostridium difficile Infection (CDI),"Desert Regional Medical Center, Palm Springs",.,.,250000008,.,.,Riverside,42,64615,1.11,0.81,1.49,No Different,
2013,California,Clostridium difficile Infection (CDI),"Desert Valley Hospital, Victorville",.,.,240001330,.,.,San Bernardino,11,30411,0.56,0.29,0.97,Lower,
2013,California,Clostridium difficile Infection (CDI),Doctors Hospital of Manteca,.,.,030000118,.,.,San Joaquin,5,13895,0.77,0.28,1.71,No Different,
2013,California,Clostridium difficile Infection (CDI),"Doctors Hospital of West Covina, Inc, West Covina",.,.,930000188,.,.,Los Angeles,0,365,,,,.,
2013,California,Clostridium difficile Infection (CDI),"Doctors Medical Center, Modesto",.,.,030000122,.,.,Stanislaus,57,116129,0.68,0.52,0.87,Lower,
2013,California,Clostridium difficile Infection (CDI),"Doctors Medical Center, San Pablo",.,.,110001204,.,.,Contra Costa,10,24463,0.82,0.42,1.46,No Different,
2013,California,Clostridium difficile Infection (CDI),Dominican Hospital,.,.,070000139,.,.,Santa Cruz,44,47922,1.37,1.01,1.83,Higher,
2013,California,Clostridium difficile Infection (CDI),Downey Regional Medical Center,.,.,930000052,.,.,Los Angeles,5,33496,0.21,0.08,0.47,Lower,
2013,California,Clostridium difficile Infection (CDI),"Earl & Loraine Miller Children's Hospital, Long Beach",.,.,930001709,.,.,Los Angeles,14,53976,0.34,0.19,0.55,Lower,
2013,California,Clostridium difficile Infection (CDI),"East Los Angeles Doctors Hospital, Los Angeles",.,.,930000053,.,.,Los Angeles,3,25110,0.24,0.06,0.66,Lower,
2013,California,Clostridium difficile Infection (CDI),"East Valley Hospital Medical Center, Glendora",.,.,930000060,.,.,Los Angeles,3,5642,1.01,0.26,2.75,No Different,
2013,California,Clostridium difficile Infection (CDI),"Eastern Plumas Health Care, Portola",.,.,230000004,.,.,Plumas,0,889,,,,.,
2013,California,Clostridium difficile Infection (CDI),"Eden Medical Center, Castro Valley",.,.,140000183,.,.,Alameda,36,36970,1.78,1.27,2.44,Higher,
2013,California,Clostridium difficile Infection (CDI),"Eisenhower Medical Center, Rancho Mirage",.,.,250000011,.,.,Riverside,62,77381,0.89,0.69,1.13,No Different,
2013,California,Clostridium difficile Infection (CDI),"El Camino Hospital, Los Gatos",.,.,070000136,.,.,Santa Clara,16,14651,1.64,0.97,2.61,No Different,
2013,California,Clostridium difficile Infection (CDI),"El Camino Hospital, Mountain View",.,.,070001351,.,.,Santa Clara,47,62986,0.93,0.69,1.23,No Different,
2013,California,Clostridium difficile Infection (CDI),El Centro Regional Medical Center,.,.,090000040,.,.,Imperial,17,24560,1.09,0.66,1.71,No Different,
2013,California,Clostridium difficile Infection (CDI),"Emanuel Medical Center Inc, Turlock",.,.,030000125,.,.,Stanislaus,44,40101,1.44,1.06,1.91,Higher,
2013,California,Clostridium difficile Infection (CDI),"Encino Hospital Medical Center, Encino",.,.,930000054,.,.,Los Angeles,12,19733,0.88,0.48,1.49,No Different,
2013,California,Clostridium difficile Infection (CDI),"Enloe Medical Center-Cohasset, Chico","Enloe Medical Center-Esplanade, Chico","Enloe Rehabilitation Center, Chico",230000013,230000002,230000405,Butte,55,67100,0.87,0.66,1.13,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Fairchild Medical Center, Yreka",.,.,230000019,.,.,Siskiyou,1,4918,0.29,0.01,1.42,No Different,
2013,California,Clostridium difficile Infection (CDI),"Fairview Developmental Center, Costa Mesa",.,.,170001767,.,.,Orange,1,313,5.85,0.15,32.58,No Different,¥  See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),Fallbrook Hospital District,.,.,080000043,.,.,San Diego,5,4693,2.14,0.78,4.73,No Different,
2013,California,Clostridium difficile Infection (CDI),"Feather River Hospital, Paradise",.,.,230000005,.,.,Butte,25,19963,1.85,1.22,2.68,Higher,
2013,California,Clostridium difficile Infection (CDI),"Foothill Presbyterian Hospital-Johnston Memorial, Glendora",.,.,930000056,.,.,Los Angeles,16,17702,1.26,0.74,2,No Different,
2013,California,Clostridium difficile Infection (CDI),Fountain Valley Regional Hospital & Medical Center,Fountain Valley Regional Hospital & Medical Center,.,060000011,060000936,.,Orange,36,78558,0.79,0.56,1.09,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Frank R. Howard Memorial Hospital, Willits",.,.,110000008,.,.,Mendocino,4,5740,1.09,0.35,2.64,No Different,
2013,California,Clostridium difficile Infection (CDI),"Fremont Medical Center, Yuba City","Rideout Memorial Hospital, Marysville",.,230000261,230000260,.,Sutter-Yuba,76,50848,2.13,1.69,2.65,Higher,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"French Hospital Medical Center, San Luis Obispo",.,.,050000016,.,.,San Luis Obispo,6,13779,0.66,0.27,1.36,No Different,
2013,California,Clostridium difficile Infection (CDI),Fresno Heart and Surgical Hospital,.,.,040001397,.,.,Fresno,8,11669,1.12,0.52,2.14,No Different,
2013,California,Clostridium difficile Infection (CDI),Fresno Surgical Hospital,.,.,040000254,.,.,Fresno,0,3848,0,0,1.79,No Different,
2013,California,Clostridium difficile Infection (CDI),Garden Grove Hospital and Medical Center,.,.,060000058,.,.,Orange,11,21428,0.91,0.48,1.59,No Different,
2013,California,Clostridium difficile Infection (CDI),"Garfield Medical Center, Monterey Park",.,.,930000058,.,.,Los Angeles,30,51460,0.93,0.64,1.31,No Different,
2013,California,Clostridium difficile Infection (CDI),"George L. Mee Memorial Hospital, King City",.,.,070000141,.,.,Monterey,4,23854,0.3,0.1,0.72,Lower,
2013,California,Clostridium difficile Infection (CDI),Glendale Adventist Medical Center,.,.,930000059,.,.,Los Angeles,77,101021,1.01,0.8,1.25,No Different,
2013,California,Clostridium difficile Infection (CDI),Glendale Memorial Hospital and Health Center,.,.,930000093,.,.,Los Angeles,32,43825,0.83,0.58,1.16,No Different,
2013,California,Clostridium difficile Infection (CDI),"Glenn Medical Center, Willows",.,.,230000006,.,.,Glenn,0,619,,,,.,¶ See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Goleta Valley Cottage Hospital, Santa Barbara",.,.,050000017,.,.,Santa Barbara,3,14694,0.49,0.12,1.33,No Different,
2013,California,Clostridium difficile Infection (CDI),"Good Samaritan Hospital, Bakersfield",.,.,120000319,.,.,Kern,0,4381,0,0,1.43,No Different,
2013,California,Clostridium difficile Infection (CDI),"Good Samaritan Hospital, Los Angeles",.,.,930000068,.,.,Los Angeles,35,51854,0.94,0.67,1.29,No Different,
2013,California,Clostridium difficile Infection (CDI),"Good Samaritan Hospital, San Jose","Mission Oaks Hospital, Los Gatos",.,070000153,070000154,.,Santa Clara,46,69437,0.88,0.65,1.16,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Greater El Monte Community Hospital, South El Monte",.,.,930000062,.,.,Los Angeles,6,15108,0.74,0.3,1.53,No Different,
2013,California,Clostridium difficile Infection (CDI),"Grossmont Hospital, La Mesa",.,.,080000045,.,.,San Diego,69,119183,0.74,0.58,0.93,Lower,
2013,California,Clostridium difficile Infection (CDI),"Hazel Hawkins Memorial Hospital, Hollister",.,.,070000142,.,.,San Benito,1,7366,0.21,0.01,1.04,No Different,
2013,California,Clostridium difficile Infection (CDI),Healdsburg District Hospital,.,.,110000009,.,.,Sonoma,,,,,,.,"+ Incomplete Reporter, see data dictionary"
2013,California,Clostridium difficile Infection (CDI),"Healthbridge Children's Hospital, Orange",.,.,060001674,.,.,Orange,1,1487,1.23,0.03,6.87,No Different,¥ See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),Hemet Valley Medical Center,.,.,250000012,.,.,Riverside,65,41465,2.25,1.75,2.85,Higher,
2013,California,Clostridium difficile Infection (CDI),"Henry Mayo Newhall Memorial Hospital, Valencia",.,.,930000063,.,.,Los Angeles,30,54515,1.11,0.76,1.57,No Different,
2013,California,Clostridium difficile Infection (CDI),"Hi-Desert Medical Center, Joshua Tree",.,.,240000014,.,.,San Bernardino,2,10057,0.46,0.08,1.51,No Different,
2013,California,Clostridium difficile Infection (CDI),"Hoag Memorial Hospital Presbyterian, Newport Beach","Hoag Hospital, Irvine",.,060000014,060001022,.,Orange,119,100498,1.32,1.1,1.57,Higher,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),Hoag Orthopedic Hospitalital,.,.,630012891,.,.,Orange,1,9712,0.19,0.01,0.92,Lower,
2013,California,Clostridium difficile Infection (CDI),"Hollywood Presbyterian Medical Center, Los Angeles",.,.,930000065,.,.,Los Angeles,21,54233,0.61,0.39,0.92,Lower,
2013,California,Clostridium difficile Infection (CDI),Huntington Beach Hospital,.,.,060000015,.,.,Orange,12,19391,1.42,0.77,2.42,No Different,
2013,California,Clostridium difficile Infection (CDI),"Huntington Memorial Hospital, Pasadena",.,.,930000026,.,.,Los Angeles,77,113691,0.8,0.63,0.99,Lower,
2013,California,Clostridium difficile Infection (CDI),"Jerold Phelps Community Hospital, Garberville",.,.,110000057,.,.,Humboldt,0,86,,,,.,
2013,California,Clostridium difficile Infection (CDI),"John C. Fremont Healthcare District, Mariposa",.,.,040000105,.,.,Mariposa,0,9070,0,0,0.76,Lower,
2013,California,Clostridium difficile Infection (CDI),"John D Klarich Memorial Hospital, CSP-Corcoran",.,.,170001879,.,.,Kings,2,23266,0.2,0.03,0.65,Lower,
2013,California,Clostridium difficile Infection (CDI),"John F. Kennedy Memorial Hospital, Indio",.,.,250000017,.,.,Riverside,8,24919,0.64,0.3,1.22,No Different,
2013,California,Clostridium difficile Infection (CDI),"John Muir Medical Center, Concord",.,.,140000196,.,.,Contra Costa,47,41890,1.48,1.1,1.94,Higher,
2013,California,Clostridium difficile Infection (CDI),"John Muir Medical Center, Walnut Creek",.,.,140000187,.,.,Contra Costa,77,73637,1.28,1.02,1.59,Higher,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital & Rehab. Center, Vallejo",.,.,110000011,.,.,Solano,60,47609,1.46,1.12,1.86,Higher,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital South Bay, Harbor City",.,.,930000071,.,.,Los Angeles,52,49780,1.56,1.18,2.04,Higher,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Walnut Creek",.,.,140000190,.,.,Contra Costa,69,58923,2.04,1.6,2.57,Higher,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Anaheim Medical Center",Kaiser Foundation Hospital-Lakeview Medical Center,.,630013929,060000018,.,Orange,44,48166,1.06,0.78,1.41,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Antioch",.,.,630011203,.,.,Contra Costa,22,29422,1.08,0.69,1.61,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Baldwin Park",.,.,930001543,.,.,Los Angeles,39,44459,1.17,0.84,1.58,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Downey, Bellflower",.,.,930000074,.,.,Los Angeles,61,70017,1.24,0.96,1.58,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Fontana",.,.,240000024,.,.,San Bernardino,35,67337,0.75,0.53,1.03,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Fresno",.,.,040000949,.,.,Fresno,33,24277,2.36,1.65,3.27,Higher,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Hayward/Fremont","Kaiser Foundation Hospital, Fremont",.,140000189,140001086,.,Alameda,46,50742,1.46,1.08,1.94,Higher,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Irvine",.,.,630011745,.,.,Orange,33,42689,0.96,0.67,1.33,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Los Angeles",.,.,930000072,.,.,Los Angeles,81,99670,0.91,0.73,1.13,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Manteca","Kaiser Foundation Hospital, Modesto",.,030000973,630011683,.,Stanislaus-San Joaquin,28,30019,1.47,1,2.1,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Moreno Valley",.,.,630011959,.,.,Riverside,17,13756,1.76,1.06,2.76,Higher,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Oakland/Richmond","Kaiser Foundation Hospital, Richmond Campus",.,140000188,140000191,.,Alameda-Contra Costa,57,69006,1.29,0.98,1.65,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Ontario",.,.,630013398,.,.,San Bernardino,47,35045,2.05,1.53,2.7,Higher,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Panorama City",.,.,930000050,.,.,Los Angeles,25,40449,1,0.66,1.46,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Redwood City",.,.,220000010,.,.,San Mateo,36,33779,1.99,1.42,2.73,Higher,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Riverside",.,.,250000707,.,.,Riverside,53,43089,1.78,1.35,2.31,Higher,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Roseville",.,.,030001370,.,.,Placer,32,63999,0.78,0.55,1.09,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Sacramento",.,.,030000130,.,.,Sacramento,39,42589,1.26,0.91,1.7,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, San Diego",.,.,080000144,.,.,San Diego,63,89464,0.84,0.65,1.06,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, San Francisco",.,.,220000008,.,.,San Francisco,35,49763,1.02,0.72,1.41,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, San Jose",.,.,070000150,.,.,Santa Clara,27,45093,1.13,0.76,1.62,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, San Rafael",.,.,110000944,.,.,Marin,20,21655,1.5,0.94,2.27,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Santa Clara",.,.,070001355,.,.,Santa Clara,53,80362,1.05,0.8,1.39,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Santa Rosa",.,.,110000508,.,.,Sonoma,14,29124,0.84,0.48,1.37,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, South Sacramento",.,.,030000133,.,.,Sacramento,26,45530,0.96,0.64,1.38,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, South San Francisco",.,.,220000009,.,.,San Mateo,14,22271,1.2,0.68,1.96,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Vacaville",.,.,630012364,.,.,Solano,23,18146,1.56,1.01,2.3,Higher,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, West LA, Los Angeles",.,.,930000076,.,.,Los Angeles,33,40076,1.2,0.84,1.66,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaiser Foundation Hospital, Woodland Hills",.,.,930000290,.,.,Los Angeles,33,41419,1.21,0.85,1.68,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kaweah Delta Medical Center, Visalia",.,.,120001444,.,.,Tulare,48,103699,0.58,0.43,0.76,Lower,
2013,California,Clostridium difficile Infection (CDI),"Keck Hospital of USC, Los Angeles",.,.,930000912,.,.,Los Angeles,81,78823,1.18,0.94,1.45,No Different,
2013,California,Clostridium difficile Infection (CDI),"Kern Medical Center, Bakersfield",.,.,120000342,.,.,Kern,16,48811,0.55,0.33,0.88,Lower,
2013,California,Clostridium difficile Infection (CDI),"Kern Valley Healthcare District, Lake Isabella",.,.,120000344,.,.,Kern,1,3292,0.64,0.03,3.15,No Different,
2013,California,Clostridium difficile Infection (CDI),La Palma Intercommunity Hospital,.,.,060000024,.,.,Orange,11,18426,1.43,0.75,2.48,No Different,
2013,California,Clostridium difficile Infection (CDI),"LAC/Harbor-UCLA Medical Center, Torrance",.,.,060000027,.,.,Los Angeles,56,98170,0.66,0.5,0.85,Lower,
2013,California,Clostridium difficile Infection (CDI),"LAC/Rancho Los Amigos National Rehab Center, Downey",.,.,060000028,.,.,Los Angeles,23,55149,0.79,0.51,1.16,No Different,
2013,California,Clostridium difficile Infection (CDI),"LAC+USC Medical Center, Los Angeles",.,.,060000040,.,.,Los Angeles,104,167356,0.7,0.57,0.84,Lower,
2013,California,Clostridium difficile Infection (CDI),"Laguna Honda Hospital & Rehab Center, San Francisco",.,.,220000012,.,.,San Francisco,1,1184,1.55,0.04,8.63,No Different,¥ See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),Lakewood Regional Medical Center,.,.,930000047,.,.,Los Angeles,30,38077,1.5,1.03,2.12,Higher,
2013,California,Clostridium difficile Infection (CDI),"Lanterman Developmental Center, Pomona",.,.,170001771,.,.,Los Angeles,0,423,,,,.,
2013,California,Clostridium difficile Infection (CDI),Lodi Memorial Hospital,Lodi Memorial Hospital-West,.,030000139,030000136,.,San Joaquin,50,31761,1.85,1.39,2.42,Higher,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Loma Linda UNIV Medical Center, Loma Linda","Loma Linda UNIV Heart & Surgical Hospital, Redlands","Loma Linda UNIV Medical Center East Hospital, Loma Linda",240000027,240000025,630012294,San Bernardino,150,169208,1.01,0.86,1.18,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),Loma Linda University Medical Center - Murrieta,.,.,630012971,.,.,Riverside,21,28903,1.49,0.95,2.24,No Different,
2013,California,Clostridium difficile Infection (CDI),Lompoc Valley Medical Center,.,.,050000018,.,.,Santa Barbara,1,8652,0.25,0.01,1.23,No Different,
