Year,State,HAI,Facility_ID1,Facility_Name1,County,Hospital_Onset_Cases,Predicted_Cases,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Notes
2015,California,Clostridium difficile Infection (CDI),930000012,Beverly Hospital,Los Angeles,42,25.04,37652,1.68,1.23,2.25,Higher,
2015,California,Clostridium difficile Infection (CDI),930000002,California Hospital Medical Center - Los Angeles,Los Angeles,10,44.12,66169,0.23,0.12,0.4,Lower,
2015,California,Clostridium difficile Infection (CDI),220000002,California Pacific Medical Center - California West Campus Hospita,San Francisco,2,14.83,22425,0.14,0.02,0.45,Lower,
2015,California,Clostridium difficile Infection (CDI),220000023,California Pacific Medical Center - Davies Campus Hospital,San Francisco,17,12.29,17604,1.38,0.83,2.17,No difference,
2015,California,Clostridium difficile Infection (CDI),220000022,California Pacific Medical Center - Pacific Campus Hospital,San Francisco,106,65.79,79339,1.61,1.33,1.94,Higher,
2015,California,Clostridium difficile Infection (CDI),220000018,California Pacific Medical Center - St. Luke’s Campus Hospital,San Francisco,8,12.8,16902,0.63,0.29,1.19,No difference,
2015,California,Clostridium difficile Infection (CDI),930000013,Catalina Island Medical Center,Los Angeles,0,0.1,234,,,,,
2015,California,Clostridium difficile Infection (CDI),930000004,Cedars-Sinai Medical Center,Los Angeles,284,216.22,234830,1.31,1.17,1.47,Higher,
2015,California,Clostridium difficile Infection (CDI),930000022,Centinela Hospital Medical Center,Los Angeles,40,53.54,69798,0.75,0.54,1.01,No difference,
2015,California,Clostridium difficile Infection (CDI),040000119,Central Valley General Hospital,Kings,0,3.06,5108,0,0,0.98,Lower,
2015,California,Clostridium difficile Infection (CDI),060000006,Chapman Global Medical Center,Orange,5,4.8,7464,1.04,0.38,2.31,No difference,
2015,California,Clostridium difficile Infection (CDI),140000014,Children's Hospital & Research Center Oakland,Alameda,23,29.53,39639,0.78,0.51,1.15,No difference,
2015,California,Clostridium difficile Infection (CDI),930000034,Children's Hospital Los Angeles,Los Angeles,81,69.46,88188,1.17,0.93,1.44,No difference,
2015,California,Clostridium difficile Infection (CDI),060001207,Children's Hospital at Mission,Orange,0,2.58,4268,0,0,1.16,No difference,
2015,California,Clostridium difficile Infection (CDI),060000007,Children's Hospital of Orange County,Orange,37,44.08,47495,0.84,0.6,1.15,No difference,
2015,California,Clostridium difficile Infection (CDI),220000003,Chinese Hospital,San Francisco,3,4.24,7765,0.71,0.18,1.93,No difference,
2015,California,Clostridium difficile Infection (CDI),240000003,Chino Valley Medical Center,San Bernardino,6,12.71,16316,0.47,0.19,0.98,Lower,
2015,California,Clostridium difficile Infection (CDI),930000070,Citrus Valley Medical Center - IC Campus,Los Angeles,35,47.54,60949,0.74,0.52,1.01,No difference,"¶ See Data Dictionary; *Hospitals reported combined data, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),930000036,City of Hope Helford Clinical Research Hospital,Los Angeles,79,36.83,63290,2.15,1.71,2.66,Higher,
2015,California,Clostridium difficile Infection (CDI),040000095,Clovis Community Medical Center,Fresno,36,35.61,52903,1.01,0.72,1.39,No difference,
2015,California,Clostridium difficile Infection (CDI),040000096,Coalinga Regional Medical Center,Fresno,0,0.25,583,0,0,14.51,No difference,¥ See Data Dictionary
2015,California,Clostridium difficile Infection (CDI),930000038,Coast Plaza Hospital,Los Angeles,,,,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),060000008,College Hospital Costa Mesa,Orange,,,,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),930000114,College Medical Center,Los Angeles,9,26.97,38268,0.33,0.16,0.61,Lower,
2015,California,Clostridium difficile Infection (CDI),240000034,Colorado River Medical Center,San Bernardino,0,0.72,1437,0,0,5.11,No difference,¥ See Data Dictionary
2015,California,Clostridium difficile Infection (CDI),230000259,Colusa Regional Medical Center,Colusa,,,,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),930000082,Community Hospital Long Beach,Los Angeles,15,12.02,16157,1.25,0.73,2.01,No difference,
2015,California,Clostridium difficile Infection (CDI),930000040,Community Hospital of Huntington Park,Los Angeles,1,6.11,13706,0.16,0.01,0.81,Lower,
2015,California,Clostridium difficile Infection (CDI),240000082,Community Hospital of San Bernardino,San Bernardino,22,19.74,24912,1.12,0.72,1.66,No difference,
2015,California,Clostridium difficile Infection (CDI),070000137,Community Hospital of The Monterey Peninsula,Monterey,25,36.62,46850,0.68,0.45,0.99,Lower,
2015,California,Clostridium difficile Infection (CDI),050000014,Community Memorial Hospital - San Buenaventura,Ventura,51,40.56,49430,1.26,0.95,1.64,No difference,
2015,California,Clostridium difficile Infection (CDI),040000101,Community Regional Medical Center,Fresno,147,148.75,170640,0.99,0.84,1.16,No difference,
2015,California,Clostridium difficile Infection (CDI),140000195,Contra Costa Regional Medical Center,Contra Costa,17,18.19,36817,0.94,0.56,1.47,No difference,
2015,California,Clostridium difficile Infection (CDI),250000006,Corona Regional Medical Center,Riverside,32,20.78,26731,1.54,1.07,2.15,Higher,"*Hospitals reported combined data, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),030000117,Dameron Hospital,San Joaquin,37,23.45,35147,1.58,1.13,2.15,Higher,
2015,California,Clostridium difficile Infection (CDI),120000336,Delano Regional Medical Center,Kern,6,4.95,9099,1.21,0.49,2.52,No difference,
2015,California,Clostridium difficile Infection (CDI),250000008,Desert Regional Medical Center,Riverside,60,59.26,77323,1.01,0.78,1.29,No difference,
2015,California,Clostridium difficile Infection (CDI),240001330,Desert Valley Hospital,San Bernardino,22,25.16,34426,0.87,0.56,1.3,No difference,
2015,California,Clostridium difficile Infection (CDI),030000118,Doctors Hospital of Manteca,San Joaquin,8,9.41,13838,0.85,0.4,1.62,No difference,
2015,California,Clostridium difficile Infection (CDI),030000122,Doctors Medical Center,Stanislaus,73,89.7,117960,0.81,0.64,1.02,No difference,
2015,California,Clostridium difficile Infection (CDI),070000139,Dominican Hospital,Santa Cruz,28,28.99,42467,0.97,0.65,1.38,No difference,
2015,California,Clostridium difficile Infection (CDI),930001709,Earl & Loraine Miller Children's Hospital,Los Angeles,19,39.65,53663,0.48,0.3,0.73,Lower,
2015,California,Clostridium difficile Infection (CDI),930000053,East Los Angeles Doctors Hospital,Los Angeles,3,7.95,16230,0.38,0.1,1.03,No difference,
2015,California,Clostridium difficile Infection (CDI),230000004,Eastern Plumas Hospital - Portola Campus,Plumas,,,,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),140000183,Eden Medical Center,Alameda,43,21.73,37557,1.98,1.45,2.64,Higher,
2015,California,Clostridium difficile Infection (CDI),250000011,Eisenhower Medical Center,Riverside,59,71.31,74638,0.83,0.64,1.06,No difference,
2015,California,Clostridium difficile Infection (CDI),070001351,El Camino Hospital,Santa Clara,34,37.98,65764,0.9,0.63,1.24,No difference,
2015,California,Clostridium difficile Infection (CDI),070000136,El Camino Hospital Los Gatos,Santa Clara,4,5.09,8899,0.79,0.25,1.89,No difference,
2015,California,Clostridium difficile Infection (CDI),090000040,El Centro Regional Medical Center,Imperial,15,14.91,22048,1.01,0.59,1.62,No difference,
2015,California,Clostridium difficile Infection (CDI),030000125,Emanuel Medical Center,Stanislaus,39,26.84,38060,1.45,1.05,1.97,Higher,
2015,California,Clostridium difficile Infection (CDI),930000054,Encino Hospital Medical Center,Los Angeles,5,6.1,8248,0.82,0.3,1.82,No difference,
2015,California,Clostridium difficile Infection (CDI),230000013,Enloe Medical Center - Esplanade,Butte,44,53.48,68016,0.82,0.61,1.1,No difference,
2015,California,Clostridium difficile Infection (CDI),230000019,Fairchild Medical Center,Siskiyou,0,1.8,2069,0,0,1.66,No difference,¶ See Data Dictionary
2015,California,Clostridium difficile Infection (CDI),170001767,Fairview Developmental Center,Orange,0,0.25,464,0,0,14.57,No difference,¥ See Data Dictionary
2015,California,Clostridium difficile Infection (CDI),230000005,Feather River Hospital,Butte,29,12.39,16007,2.34,1.6,3.32,Higher,
2015,California,Clostridium difficile Infection (CDI),930000056,Foothill Presbyterian Hospital-Johnston Memorial,Los Angeles,15,14.86,20922,1.01,0.59,1.63,No difference,
2015,California,Clostridium difficile Infection (CDI),060000011,Fountain Valley Regional Hospital & Medical Center,Orange,19,45.99,79050,0.41,0.26,0.63,Lower,"*Hospitals reported combined data, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),110000008,Frank R. Howard Memorial Hospital,Mendocino,4,3.88,5770,1.03,0.33,2.48,No difference,
2015,California,Clostridium difficile Infection (CDI),050000016,French Hospital Medical Center,San Luis Obispo,9,11.39,15828,0.79,0.39,1.45,No difference,
2015,California,Clostridium difficile Infection (CDI),040001397,Fresno Heart and Surgical Hospital,Fresno,9,6.96,11259,1.29,0.63,2.37,No difference,
2015,California,Clostridium difficile Infection (CDI),040000254,Fresno Surgical Hospital,Fresno,0,1.48,3398,0,0,2.02,No difference,
2015,California,Clostridium difficile Infection (CDI),060000058,Garden Grove Hospital and Medical Center,Orange,12,10.43,20540,1.15,0.62,1.96,No difference,
2015,California,Clostridium difficile Infection (CDI),930000032,Gardens Regional Hospital and Medical Center,Los Angeles,,,,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),930000058,Garfield Medical Center,Los Angeles,61,36.84,51616,1.66,1.28,2.11,Higher,
2015,California,Clostridium difficile Infection (CDI),070000141,George L. Mee Memorial Hospital,Monterey,1,10.91,20296,0.09,0.01,0.45,Lower,
2015,California,Clostridium difficile Infection (CDI),930000059,Glendale Adventist Medical Center,Los Angeles,58,55.84,72390,1.04,0.8,1.33,No difference,
2015,California,Clostridium difficile Infection (CDI),930000093,Glendale Memorial Hospital and Health Center,Los Angeles,48,31.38,41266,1.53,1.14,2.01,Higher,
2015,California,Clostridium difficile Infection (CDI),930000060,Glendora Community Hospital,Los Angeles,,,,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),230000006,Glenn Medical Center,Glenn,0,0.57,1303,0,0,6.49,No difference,¥ See Data Dictionary
2015,California,Clostridium difficile Infection (CDI),050000017,Goleta Valley Cottage Hospital,Santa Barbara,0,3.03,7516,0,0,0.99,Lower,
2015,California,Clostridium difficile Infection (CDI),120000319,"Good Samaritan Hospital, Bakersfield",Kern,2,9.04,18160,0.22,0.04,0.73,Lower,
2015,California,Clostridium difficile Infection (CDI),930000068,"Good Samaritan Hospital, Los Angeles",Los Angeles,36,33.94,52531,1.06,0.75,1.45,No difference,
2015,California,Clostridium difficile Infection (CDI),070000153,"Good Samaritan Hospital, San Jose",Santa Clara,71,59.42,73947,1.2,0.94,1.5,No difference,"*Hospitals reported combined data, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),930000062,Greater El Monte Community Hospital,Los Angeles,,,,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),080000045,Grossmont Hospital,San Diego,102,67.02,100600,1.52,1.25,1.84,Higher,
2015,California,Clostridium difficile Infection (CDI),070000142,Hazel Hawkins Memorial Hospital,San Benito,2,4.24,7151,0.47,0.08,1.56,No difference,
2015,California,Clostridium difficile Infection (CDI),110000009,Healdsburg District Hospital,Sonoma,0,2.56,4263,0,0,1.17,No difference,
2015,California,Clostridium difficile Infection (CDI),060001674,Healthbridge Children's Hospital - Orange,Orange,1,1.05,2567,0.95,0.05,4.7,No difference,
2015,California,Clostridium difficile Infection (CDI),250000012,Hemet Valley Medical Center,Riverside,29,27.41,43112,1.06,0.72,1.5,No difference,
2015,California,Clostridium difficile Infection (CDI),930000063,Henry Mayo Newhall Hospital,Los Angeles,,,,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),240000014,Hi-Desert Medical Center,San Bernardino,0,3.62,7907,0,0,0.83,Lower,
2015,California,Clostridium difficile Infection (CDI),140000034,Highland Hospital,Alameda,28,35.13,45976,0.8,0.54,1.14,No difference,"*Hospitals reported combined data, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),060001022,Hoag Hospital Irvine,Orange,17,10.22,15659,1.66,1,2.61,No difference,
2015,California,Clostridium difficile Infection (CDI),060000014,Hoag Memorial Hospital Presbyterian,Orange,106,75.26,92678,1.41,1.16,1.7,Higher,
2015,California,Clostridium difficile Infection (CDI),630012891,Hoag Orthopedic Institute,Orange,1,5.97,10724,0.17,0.01,0.83,Lower,
2015,California,Clostridium difficile Infection (CDI),930000065,Hollywood Presbyterian Medical Center,Los Angeles,23,40.52,66366,0.57,0.37,0.84,Lower,
2015,California,Clostridium difficile Infection (CDI),060000015,Huntington Beach Hospital,Orange,6,7.44,11470,0.81,0.33,1.68,No difference,
2015,California,Clostridium difficile Infection (CDI),930000026,Huntington Memorial Hospital,Los Angeles,83,86.35,107240,0.96,0.77,1.19,No difference,
2015,California,Clostridium difficile Infection (CDI),110000057,Jerold Phelps Community Hospital,Humboldt,0,0.36,821,0,0,10.3,No difference,¥ See Data Dictionary
2015,California,Clostridium difficile Infection (CDI),040000105,John C. Fremont Healthcare District,Mariposa,0,2.09,4501,0,0,1.44,No difference,
2015,California,Clostridium difficile Infection (CDI),250000017,John F. Kennedy Memorial Hospital,Riverside,7,13.57,22421,0.52,0.23,1.02,No difference,
2015,California,Clostridium difficile Infection (CDI),140000196,John Muir Medical Center - Concord Campus,Contra Costa,43,34.3,48313,1.25,0.92,1.67,No difference,
2015,California,Clostridium difficile Infection (CDI),140000187,John Muir Medical Center - Walnut Creek Campus,Contra Costa,58,56.31,75973,1.03,0.79,1.32,No difference,
2015,California,Clostridium difficile Infection (CDI),110000011,"Kaiser Foundation Hospital and Rehab Center, Vallejo",Solano,29,32.91,38109,0.88,0.6,1.25,No difference,
2015,California,Clostridium difficile Infection (CDI),630011203,"Kaiser Foundation Hospital, Antioch",Contra Costa,25,19.74,28656,1.27,0.84,1.84,No difference,
2015,California,Clostridium difficile Infection (CDI),930001543,"Kaiser Foundation Hospital, Baldwin Park",Los Angeles,40,34.46,42865,1.16,0.84,1.57,No difference,
2015,California,Clostridium difficile Infection (CDI),930000074,"Kaiser Foundation Hospital, Downey",Los Angeles,63,54.51,70520,1.16,0.9,1.47,No difference,
2015,California,Clostridium difficile Infection (CDI),240000024,"Kaiser Foundation Hospital, Fontana",San Bernardino,77,72.13,83084,1.07,0.85,1.33,No difference,
2015,California,Clostridium difficile Infection (CDI),140001086,"Kaiser Foundation Hospital, Fremont",Alameda,10,12.76,17178,0.78,0.4,1.4,No difference,
2015,California,Clostridium difficile Infection (CDI),040000949,"Kaiser Foundation Hospital, Fresno",Fresno,27,21.18,28101,1.28,0.86,1.83,No difference,
2015,California,Clostridium difficile Infection (CDI),930000072,"Kaiser Foundation Hospital, Los Angeles",Los Angeles,119,94.49,107755,1.26,1.05,1.5,Higher,
2015,California,Clostridium difficile Infection (CDI),030000973,"Kaiser Foundation Hospital, Manteca",San Joaquin,32,27.16,39028,1.18,0.82,1.64,No difference,"*Hospitals reported combined data, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),630011959,"Kaiser Foundation Hospital, Moreno Valley",Riverside,15,10.21,16223,1.47,0.85,2.37,No difference,
2015,California,Clostridium difficile Infection (CDI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,69,71.64,80562,0.96,0.76,1.21,No difference,"*Hospitals reported combined data, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),630013398,"Kaiser Foundation Hospital, Ontario",San Bernardino,44,33.23,38975,1.32,0.97,1.76,No difference,
2015,California,Clostridium difficile Infection (CDI),630013929,"Kaiser Foundation Hospital, Orange County, Anaheim",Orange,48,51.43,58512,0.93,0.7,1.23,No difference,
2015,California,Clostridium difficile Infection (CDI),630011745,"Kaiser Foundation Hospital, Orange County, Irvine",Orange,43,34.97,44246,1.23,0.9,1.64,No difference,
2015,California,Clostridium difficile Infection (CDI),930000050,"Kaiser Foundation Hospital, Panorama City",Los Angeles,24,23.04,35414,1.04,0.68,1.53,No difference,
2015,California,Clostridium difficile Infection (CDI),220000010,"Kaiser Foundation Hospital, Redwood City",San Mateo,28,20.91,30542,1.34,0.91,1.91,No difference,
2015,California,Clostridium difficile Infection (CDI),250000707,"Kaiser Foundation Hospital, Riverside",Riverside,47,32.33,45022,1.45,1.08,1.92,Higher,
2015,California,Clostridium difficile Infection (CDI),030001370,"Kaiser Foundation Hospital, Roseville",Placer,35,60.49,71442,0.58,0.41,0.8,Lower,
2015,California,Clostridium difficile Infection (CDI),030000130,"Kaiser Foundation Hospital, Sacramento",Sacramento,37,46.09,51396,0.8,0.57,1.1,No difference,
2015,California,Clostridium difficile Infection (CDI),080000144,"Kaiser Foundation Hospital, San Diego",San Diego,107,81.89,92606,1.31,1.08,1.57,Higher,
2015,California,Clostridium difficile Infection (CDI),220000008,"Kaiser Foundation Hospital, San Francisco",San Francisco,39,53.92,54942,0.72,0.52,0.98,Lower,
2015,California,Clostridium difficile Infection (CDI),070000150,"Kaiser Foundation Hospital, San Jose",Santa Clara,33,33.18,45675,1,0.7,1.38,No difference,
2015,California,Clostridium difficile Infection (CDI),630015029,"Kaiser Foundation Hospital, San Leandro",Alameda,31,28.56,37194,1.09,0.75,1.52,No difference,
2015,California,Clostridium difficile Infection (CDI),110000944,"Kaiser Foundation Hospital, San Rafael",Marin,12,15.61,21842,0.77,0.42,1.31,No difference,
2015,California,Clostridium difficile Infection (CDI),070001355,"Kaiser Foundation Hospital, Santa Clara",Santa Clara,65,60.65,75114,1.07,0.83,1.36,No difference,
2015,California,Clostridium difficile Infection (CDI),110000508,"Kaiser Foundation Hospital, Santa Rosa",Sonoma,52,28.97,34720,1.8,1.36,2.34,Higher,
2015,California,Clostridium difficile Infection (CDI),930000071,"Kaiser Foundation Hospital, South Bay",Los Angeles,63,41.19,51098,1.53,1.19,1.94,Higher,
2015,California,Clostridium difficile Infection (CDI),030000133,"Kaiser Foundation Hospital, South Sacramento",Sacramento,49,37.59,51222,1.3,0.98,1.71,No difference,
2015,California,Clostridium difficile Infection (CDI),220000009,"Kaiser Foundation Hospital, South San Francisco",San Mateo,34,17.7,23205,1.92,1.35,2.66,Higher,
2015,California,Clostridium difficile Infection (CDI),630012364,"Kaiser Foundation Hospital, Vacaville",Solano,22,20.46,26880,1.08,0.69,1.6,No difference,
2015,California,Clostridium difficile Infection (CDI),140000190,"Kaiser Foundation Hospital, Walnut Creek",Contra Costa,72,41.3,55737,1.74,1.37,2.18,Higher,
2015,California,Clostridium difficile Infection (CDI),930000076,"Kaiser Foundation Hospital, West LA",Los Angeles,37,25.04,38205,1.48,1.06,2.02,Higher,
2015,California,Clostridium difficile Infection (CDI),930000290,"Kaiser Foundation Hospital, Woodland Hills",Los Angeles,43,32.14,42460,1.34,0.98,1.79,No difference,
2015,California,Clostridium difficile Infection (CDI),120001444,Kaweah Delta Medical Center,Tulare,52,72.14,93481,0.72,0.54,0.94,Lower,
2015,California,Clostridium difficile Infection (CDI),930000912,Keck Hospital of USC,Los Angeles,72,73.6,84150,0.98,0.77,1.23,No difference,
2015,California,Clostridium difficile Infection (CDI),120000342,Kern Medical Center,Kern,9,28.14,47858,0.32,0.16,0.59,Lower,
2015,California,Clostridium difficile Infection (CDI),120000344,Kern Valley Healthcare District,Kern,1,1.4,3202,0.72,0.04,3.53,No difference,
2015,California,Clostridium difficile Infection (CDI),060000040,LAC+USC Medical Center,Los Angeles,85,141.59,160538,0.6,0.48,0.74,Lower,
2015,California,Clostridium difficile Infection (CDI),060000027,LAC/Harbor-UCLA Medical Center,Los Angeles,62,79.43,92344,0.78,0.6,0.99,Lower,
2015,California,Clostridium difficile Infection (CDI),060000038,LAC/Olive View-UCLA Medical Center,Los Angeles,30,49.89,61594,0.6,0.41,0.85,Lower,
2015,California,Clostridium difficile Infection (CDI),060000028,LAC/Rancho Los Amigos National Rehabilitation Ctr,Los Angeles,2,18.52,34112,0.11,0.02,0.36,Lower,
2015,California,Clostridium difficile Infection (CDI),060000024,La Palma Intercommunity Hospital,Orange,24,12.04,16564,1.99,1.31,2.92,Higher,
2015,California,Clostridium difficile Infection (CDI),220000012,Laguna Honda Hospital & Rehabilitation Center,San Francisco,0,0.15,277,,,,,
2015,California,Clostridium difficile Infection (CDI),930000047,Lakewood Regional Medical Center,Los Angeles,14,21.6,39906,0.65,0.37,1.06,No difference,
2015,California,Clostridium difficile Infection (CDI),030000139,Lodi Memorial Hospital,San Joaquin,25,23,32340,1.09,0.72,1.58,No difference,
2015,California,Clostridium difficile Infection (CDI),630015551,Loma Linda University Children's Hospital,San Bernardino,24,51.65,58428,0.47,0.31,0.68,Lower,
2015,California,Clostridium difficile Infection (CDI),240000027,Loma Linda University Medical Center,San Bernardino,122,101.39,108392,1.2,1,1.43,No difference,"*Hospitals reported combined data, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),630012971,Loma Linda University Medical Center - Murrieta,Riverside,12,22.46,31822,0.53,0.29,0.91,Lower,
2015,California,Clostridium difficile Infection (CDI),050000018,Lompoc Valley Medical Center,Santa Barbara,3,3.69,7925,0.81,0.21,2.22,No difference,
2015,California,Clostridium difficile Infection (CDI),930000095,Long Beach Memorial Medical Center,Los Angeles,138,84.23,102536,1.64,1.38,1.93,Higher,
2015,California,Clostridium difficile Infection (CDI),060000025,Los Alamitos Medical Center,Orange,46,33.88,43852,1.36,1.01,1.8,Higher,
2015,California,Clostridium difficile Infection (CDI),930000085,Los Angeles Community Hospital,Los Angeles,12,26.66,53532,0.45,0.24,0.77,Lower,"*Hospitals reported combined data, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),050000020,Los Robles Hospital & Medical Center,Ventura,62,51.14,64703,1.21,0.94,1.54,No difference,
2015,California,Clostridium difficile Infection (CDI),050000553,Los Robles Hospital & Medical Center - East Campus,Ventura,4,5.59,9665,0.72,0.23,1.73,No difference,
2015,California,Clostridium difficile Infection (CDI),070001349,Lucile Packard Children's Hospital Stanford,Santa Clara,21,61.29,68334,0.34,0.22,0.52,Lower,
2015,California,Clostridium difficile Infection (CDI),110000021,Mad River Community Hospital,Humboldt,0,5.01,10966,0,0,0.6,Lower,
2015,California,Clostridium difficile Infection (CDI),040000111,Madera Community Hospital,Madera,1,7.48,14616,0.13,0.01,0.66,Lower,
2015,California,Clostridium difficile Infection (CDI),240000005,Mammoth Hospital,Mono,0,0.82,1391,0,0,4.52,No difference,¥ See Data Dictionary
2015,California,Clostridium difficile Infection (CDI),050000021,Marian Regional Medical Center,Santa Barbara,13,28.09,41819,0.46,0.26,0.77,Lower,
2015,California,Clostridium difficile Infection (CDI),050000009,"Marian Regional Medical Center, Arroyo Grande",San Luis Obispo,7,5.16,8438,1.36,0.59,2.68,No difference,
2015,California,Clostridium difficile Infection (CDI),110000953,Marin General Hospital,Marin,39,25.08,34996,1.56,1.12,2.1,Higher,
2015,California,Clostridium difficile Infection (CDI),930000044,Marina Del Rey Hospital,Los Angeles,21,7.92,15272,2.65,1.69,3.98,Higher,
2015,California,Clostridium difficile Infection (CDI),030000120,Mark Twain Medical Center,Calaveras,1,1.88,3935,0.53,0.03,2.62,No difference,
2015,California,Clostridium difficile Infection (CDI),030000121,Marshall Medical Center,El Dorado,20,18.07,21103,1.11,0.7,1.68,No difference,
2015,California,Clostridium difficile Infection (CDI),230000009,Mayers Memorial Hospital,Shasta,1,1.01,2326,0.99,0.05,4.86,No difference,
2015,California,Clostridium difficile Infection (CDI),040000110,Memorial Hospital Los Banos,Merced,1,1.8,3813,0.56,0.03,2.74,No difference,
2015,California,Clostridium difficile Infection (CDI),930000092,Memorial Hospital of Gardena,Los Angeles,15,24.14,49102,0.62,0.36,1,No difference,
2015,California,Clostridium difficile Infection (CDI),030000123,Memorial Medical Center,Stanislaus,94,61.01,77218,1.54,1.25,1.88,Higher,
2015,California,Clostridium difficile Infection (CDI),110000023,Mendocino Coast District Hospital,Mendocino,4,2.94,4672,1.36,0.43,3.29,No difference,
2015,California,Clostridium difficile Infection (CDI),250000727,Menifee Valley Medical Center,Riverside,15,6.43,11334,2.33,1.36,3.76,Higher,
2015,California,Clostridium difficile Infection (CDI),220000716,Menlo Park Surgical Hospital,San Mateo,1,0.17,310,,,,,
2015,California,Clostridium difficile Infection (CDI),030000124,Mercy General Hospital,Sacramento,61,53.39,63643,1.14,0.88,1.46,No difference,
2015,California,Clostridium difficile Infection (CDI),120000404,Mercy Hospital,Kern,13,16.73,23636,0.78,0.43,1.3,No difference,
2015,California,Clostridium difficile Infection (CDI),030000901,Mercy Hospital of Folsom,Sacramento,23,19.11,24700,1.2,0.78,1.78,No difference,
2015,California,Clostridium difficile Infection (CDI),040000113,Mercy Medical Center,Merced,13,22.2,42665,0.59,0.33,0.98,Lower,
