Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,On_Track,Months,SIR_2015,Notes
2019,California,Contra Costa,Clostridioides difficile Infection (CDI),140000187,"John Muir Medical Center, Walnut Creek Campus",Acute Care Hospital,Major Teaching,29,69.42,83483,0.42,0.29,0.59,Better,Yes,12,1.04,
2019,California,Contra Costa,Clostridioides difficile Infection (CDI),140000187,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,3.78,7322,0,0,0.79,Better,Yes,,0.23,
2019,California,Contra Costa,Clostridioides difficile Infection (CDI),630011203,"Kaiser Foundation Hospital, Antioch",Acute Care Hospital,"Community, 125-250 Beds",4,16.4,28632,0.24,0.08,0.59,Better,Yes,12,1.25,
2019,California,Contra Costa,Clostridioides difficile Infection (CDI),140000191,"Kaiser Foundation Hospital, Richmond Campus",Acute Care Hospital,Major Teaching,0,6.23,14749,0,0,0.48,Better,Yes,12,,
2019,California,Contra Costa,Clostridioides difficile Infection (CDI),140000190,"Kaiser Foundation Hospital, Walnut Creek",Acute Care Hospital,"Community, 125-250 Beds",40,38.73,53774,1.03,0.75,1.39,Same,No,12,1.42,
2019,California,Contra Costa,Clostridioides difficile Infection (CDI),140000704,San Ramon Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",4,8.31,16477,0.48,0.15,1.16,Same,Yes,12,1.94,
2019,California,Contra Costa,Clostridioides difficile Infection (CDI),140000016,Sutter Delta Medical Center,Acute Care Hospital,"Community, 125-250 Beds",13,21.91,31467,0.59,0.33,0.99,Better,Yes,12,1.09,
2019,California,Del Norte,Clostridioides difficile Infection (CDI),110000049,Sutter Coast Hospital,Acute Care Hospital,"Community, <125 Beds",4,4.61,7301,0.87,0.28,2.09,Same,No,12,4.13,
2019,California,Del Norte,Clostridioides difficile Infection (CDI),110000049,"Sutter Coast Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.98,2549,0,0,3.775,Same,Yes,,,¥ See Data Dictionary
2019,California,El Dorado,Clostridioides difficile Infection (CDI),030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",2,1.34,4830,1.49,0.25,4.93,Same,No,9,1,"Incomplete Reporter, interpret with caution"
2019,California,El Dorado,Clostridioides difficile Infection (CDI),030000121,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",3,25.6,19499,0.12,0.03,0.32,Better,Yes,12,1.1,
2019,California,Fresno,Clostridioides difficile Infection (CDI),040000124,Adventist Health Reedley,Acute Care Hospital,"Community, <125 Beds",0,0.59,3140,0,0,6.216,Same,Yes,12,0,¥ See Data Dictionary
2019,California,Fresno,Clostridioides difficile Infection (CDI),040000122,Adventist Health Selma,Acute Care Hospital,"Community, <125 Beds",2,0.85,4654,2.346,0.284,8.475,Same,No,12,1.36,¥ See Data Dictionary
2019,California,Fresno,Clostridioides difficile Infection (CDI),040000095,Clovis Community Medical Center,Acute Care Hospital,Major Teaching,19,26.69,63799,0.71,0.44,1.09,Same,Yes,12,1,
2019,California,Fresno,Clostridioides difficile Infection (CDI),040000101,Community Regional Medical Center,Acute Care Hospital,Major Teaching,53,81.88,161699,0.65,0.49,0.84,Better,Yes,12,1.17,
2019,California,Fresno,Clostridioides difficile Infection (CDI),040000101,"Community Regional Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,3,3.59,9307,0.84,0.21,2.28,Same,No,,0.41,
2019,California,Fresno,Clostridioides difficile Infection (CDI),040001397,Fresno Heart and Surgical Hospital,Acute Care Hospital,Major Teaching,0,3.32,10961,0,0,0.9,Better,Yes,12,2.11,
2019,California,Fresno,Clostridioides difficile Infection (CDI),040000254,Fresno Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.53,3537,0,0,6.971,Same,Yes,12,0,¥ See Data Dictionary
2019,California,Fresno,Clostridioides difficile Infection (CDI),040000949,"Kaiser Foundation Hospital, Fresno",Acute Care Hospital,"Community, 125-250 Beds",15,24.25,34714,0.62,0.36,1,Same,Yes,12,1.11,
2019,California,Fresno,Clostridioides difficile Infection (CDI),040000126,Saint Agnes Medical Center,Acute Care Hospital,"Community, >250 Beds",40,50.64,104605,0.79,0.57,1.07,Same,No,12,0.58,
2019,California,Fresno,Clostridioides difficile Infection (CDI),040000613,San Joaquin Valley Rehabilitation Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,2,4.68,17913,0.43,0.07,1.41,Same,Yes,12,0,
2019,California,Glenn,Clostridioides difficile Infection (CDI),230000006,Glenn Medical Center,Critical Access Hospital,Critical Access,0,1.57,7124,0,0,1.9,Same,Yes,12,0,
2019,California,Humboldt,Clostridioides difficile Infection (CDI),110000057,Jerold Phelps Community Hospital,Critical Access Hospital,Critical Access,0,0.32,1459,0,0,11.448,Same,Yes,12,,¥ See Data Dictionary
2019,California,Humboldt,Clostridioides difficile Infection (CDI),110000021,Mad River Community Hospital,Acute Care Hospital,"Community, <125 Beds",1,2.59,9090,0.39,0.02,1.91,Same,Yes,12,0,
2019,California,Humboldt,Clostridioides difficile Infection (CDI),110000045,Redwood Memorial Hospital,Critical Access Hospital,Critical Access,0,1.26,4595,0,0,2.38,Same,Yes,12,0,
2019,California,Humboldt,Clostridioides difficile Infection (CDI),110000067,"St. Joseph Hospital, Eureka",Acute Care Hospital,Major Teaching,7,14.1,33937,0.5,0.22,0.98,Better,Yes,12,1.4,
2019,California,Humboldt,Clostridioides difficile Infection (CDI),110000069,The General Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.87,2812,0,0,4.259,Same,Yes,12,2.62,¥ See Data Dictionary
2019,California,Imperial,Clostridioides difficile Infection (CDI),090000040,El Centro Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",15,15.04,23849,1,0.58,1.61,Same,No,12,1.1,
2019,California,Imperial,Clostridioides difficile Infection (CDI),090000146,Pioneers Memorial Healthcare District,Acute Care Hospital,"Community, <125 Beds",13,11.77,16990,1.1,0.61,1.84,Same,No,12,1.35,
2019,California,Inyo,Clostridioides difficile Infection (CDI),240000037,Northern Inyo Hospital,Critical Access Hospital,Critical Access,3,1.17,3419,2.56,0.65,6.96,Same,No,12,0.63,
2019,California,Inyo,Clostridioides difficile Infection (CDI),240000102,Southern Inyo Hospital,Critical Access Hospital,Critical Access,,,,,,,,,,,"Incomplete Reporter, interpret with caution"
2019,California,Kern,Clostridioides difficile Infection (CDI),120000411,Adventist Health Bakersfield,Acute Care Hospital,Major Teaching,9,29.34,65483,0.31,0.15,0.56,Better,Yes,12,1.13,
2019,California,Kern,Clostridioides difficile Infection (CDI),120000413,Adventist Health Tehachapi Valley,Critical Access Hospital,Critical Access,1,0.86,3884,1.166,0.03,6.495,Same,No,12,0.63,¥ See Data Dictionary
2019,California,Kern,Clostridioides difficile Infection (CDI),120001330,Bakersfield Heart Hospital,Acute Care Hospital,"Community, <125 Beds",8,6.32,12264,1.27,0.59,2.4,Same,No,12,0.59,
2019,California,Kern,Clostridioides difficile Infection (CDI),120000338,Bakersfield Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",19,40.77,61532,0.47,0.29,0.71,Better,Yes,12,0.96,
2019,California,Kern,Clostridioides difficile Infection (CDI),120000336,Delano Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",0,3.09,8044,0,0,0.97,Better,Yes,12,2.66,
2019,California,Kern,Clostridioides difficile Infection (CDI),120000555,Encompass Health Rehabilitation Hospital of Bakersfield,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,1,8.07,23264,0.12,0.01,0.61,Better,Yes,12,0.51,
2019,California,Kern,Clostridioides difficile Infection (CDI),120000319,"Good Samaritan Hospital, Bakersfield",Acute Care Hospital,"Community, <125 Beds",2,1.22,5274,1.64,0.28,5.43,Same,No,12,0.6,
2019,California,Kern,Clostridioides difficile Infection (CDI),120000342,Kern Medical Center,Acute Care Hospital,Major Teaching,12,24.37,42353,0.49,0.27,0.84,Better,Yes,12,0.43,
2019,California,Kern,Clostridioides difficile Infection (CDI),120000344,Kern Valley Healthcare District,Critical Access Hospital,Critical Access,0,0.89,2570,0,0,4.137,Same,Yes,12,1.41,¥ See Data Dictionary
2019,California,Kern,Clostridioides difficile Infection (CDI),120000404,Mercy Hospital,Acute Care Hospital,"Community, <125 Beds",7,12.59,19392,0.56,0.24,1.1,Same,Yes,12,0.75,
2019,California,Kern,Clostridioides difficile Infection (CDI),120000701,Mercy Southwest Hospital,Acute Care Hospital,"Community, <125 Beds",3,12,22161,0.25,0.06,0.68,Better,Yes,12,0.62,
2019,California,Kern,Clostridioides difficile Infection (CDI),120000409,Ridgecrest Regional Hospital,Critical Access Hospital,Critical Access,1,1.83,6765,0.55,0.03,2.69,Same,Yes,12,1.09,
2019,California,Kings,Clostridioides difficile Infection (CDI),630012960,Adventist Health Hanford,Acute Care Hospital,"Community, 125-250 Beds",9,15.18,35540,0.59,0.29,1.09,Same,Yes,12,0.85,
2019,California,Lake,Clostridioides difficile Infection (CDI),110000044,Adventist Health Clearlake,Critical Access Hospital,Critical Access,1,1.26,5717,0.79,0.04,3.91,Same,No,12,0.69,
2019,California,Lake,Clostridioides difficile Infection (CDI),110000019,Sutter Lakeside Hospital,Critical Access Hospital,Critical Access,2,2.73,6995,0.73,0.12,2.43,Same,Yes,12,3.09,
2019,California,Lassen,Clostridioides difficile Infection (CDI),230000008,Banner Lassen Medical Center,Critical Access Hospital,Critical Access,1,0.85,3847,1.177,0.03,6.558,Same,No,12,0,¥ See Data Dictionary
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000059,Adventist Health Glendale,Acute Care Hospital,"Community, >250 Beds",12,37.97,79720,0.32,0.17,0.54,Better,Yes,12,1.04,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000059,"Adventist Health Glendale, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,2.1,6669,0,0,1.43,Same,Yes,,1.04,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000191,Adventist Health White Memorial,Acute Care Hospital,Major Teaching,9,30.34,66431,0.3,0.15,0.54,Better,Yes,12,1.15,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000191,"Adventist Health White Memorial, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.1,2858,0,0,2.72,Same,Yes,,1.62,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000005,Alhambra Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",4,9.24,19358,0.43,0.14,1.05,Same,Yes,12,1.17,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000005,"Alhambra Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.58,3373,0.63,0.03,3.12,Same,Yes,,1,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000008,Antelope Valley Hospital,Acute Care Hospital,Major Teaching,31,52.51,79716,0.59,0.41,0.83,Better,Yes,12,1.25,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000014,Barlow Respiratory Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,25,37.27,27784,0.67,0.44,0.98,Better,Yes,12,1.16,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000012,Beverly Hospital,Acute Care Hospital,"Community, 125-250 Beds",13,22.98,28250,0.57,0.32,0.94,Better,Yes,9,1.67,¶ See Data Dictionary
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000002,"California Hospital Medical Center, Los Angeles",Acute Care Hospital,Major Teaching,21,43.63,65390,0.48,0.31,0.72,Better,Yes,12,0.34,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000031,California Rehabilitation Institute,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,21,31.74,44228,0.66,0.42,0.99,Better,Yes,12,,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000020,Casa Colina Hospital,Acute Care Hospital,"Community, <125 Beds",1,1.81,4637,0.55,0.03,2.73,Same,Yes,12,,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000020,Casa Colina Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,3,10.05,26662,0.3,0.08,0.81,Better,Yes,12,1.36,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000013,Catalina Island Medical Center,Critical Access Hospital,Critical Access,0,0.07,330,,,,,,12,,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000044,Cedars-Sinai Marina Del Rey Hospital,Acute Care Hospital,"Community, 125-250 Beds",7,9.26,17446,0.76,0.33,1.5,Same,Yes,12,1.71,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000004,Cedars-Sinai Medical Center,Acute Care Hospital,Major Teaching,104,144.34,264782,0.72,0.59,0.87,Better,Yes,12,1.36,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000022,Centinela Hospital Medical Center,Acute Care Hospital,"Community, >250 Beds",2,38.77,59731,0.05,0.01,0.17,Better,Yes,12,0.98,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000022,"Centinela Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,2.15,3419,0,0,1.4,Same,Yes,,0.42,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000034,Children's Hospital Los Angeles,Acute Care Hospital,Pediatric,70,39.45,101681,1.77,1.39,2.23,Worse,No,12,2.13,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000036,City of Hope Helford Clinical Research Hospital,Acute Care Hospital,"Community, 125-250 Beds",102,76.62,74365,1.33,1.09,1.61,Worse,No,12,1.25,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000038,Coast Plaza Hospital,Acute Care Hospital,"Community, <125 Beds",11,4.88,10305,2.26,1.19,3.92,Worse,No,12,0,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000114,College Medical Center,Acute Care Hospital,"Community, 125-250 Beds",7,10.1,30568,0.69,0.3,1.37,Same,Yes,12,0.46,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000040,Community Hospital of Huntington Park,Acute Care Hospital,"Community, <125 Beds",1,2.97,14582,0.34,0.02,1.66,Same,Yes,12,0.38,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000158,DOCS Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",,,,,,,,,,,"Incomplete Reporter, interpret with caution"
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000053,East Los Angeles Doctors Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,6.12,14318,0.16,0.01,0.81,Better,Yes,12,0.5,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000056,Emanate Health Foothill Presbyterian Hospital,Acute Care Hospital,"Community, <125 Beds",7,7.98,22174,0.88,0.38,1.74,Same,No,12,0.87,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000070,Emanate Health Inter-Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",15,14.6,34538,1.03,0.6,1.66,Same,No,12,0.56,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000132,Emanate Health Queen of the Valley Hospital,Acute Care Hospital,"Community, >250 Beds",8,23.37,49791,0.34,0.16,0.65,Better,Yes,12,0.26,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000132,"Emanate Health Queen of the Valley Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.95,3555,0,0,3.888,Same,Yes,,2.18,¥ See Data Dictionary
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000054,Encino Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",6,5.38,6300,1.12,0.45,2.32,Same,No,12,1.02,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000054,"Encino Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,2,1.26,2888,1.59,0.27,5.26,Same,No,,,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000058,Garfield Medical Center,Acute Care Hospital,"Community, 125-250 Beds",15,20.3,45967,0.74,0.43,1.19,Same,Yes,12,1.48,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000058,"Garfield Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,2.16,5598,0.46,0.02,2.29,Same,Yes,,3.03,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000093,Glendale Memorial Hospital and Health Center,Acute Care Hospital,"Community, >250 Beds",10,29.81,35393,0.34,0.17,0.6,Better,Yes,12,1.25,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000093,"Glendale Memorial Hospital and Health Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.51,3472,0.66,0.03,3.27,Same,Yes,,1.67,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000060,Glendora Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,2.46,4988,0,0,1.22,Same,Yes,12,0.95,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000068,"Good Samaritan Hospital, Los Angeles",Acute Care Hospital,"Community, >250 Beds",13,29.83,64522,0.44,0.24,0.73,Better,Yes,12,1.09,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000068,"Good Samaritan Hospital, Los Angeles, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,2,1.72,4455,1.17,0.2,3.85,Same,No,,,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000062,Greater El Monte Community Hospital,Acute Care Hospital,"Community, <125 Beds",9,9.28,11262,0.97,0.47,1.78,Same,No,9,0.38,"Incomplete Reporter, interpret with caution"
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000063,Henry Mayo Newhall Hospital,Acute Care Hospital,"Community, >250 Beds",16,29.74,46873,0.54,0.32,0.86,Better,Yes,12,0.95,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000063,"Henry Mayo Newhall Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,3.11,6054,0,0,0.96,Better,Yes,,0,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000065,Hollywood Presbyterian Medical Center,Acute Care Hospital,"Community, >250 Beds",7,30.55,44311,0.23,0.1,0.45,Better,Yes,12,0.84,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000065,"Hollywood Presbyterian Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,2.51,4288,0.4,0.02,1.96,Same,Yes,,0.56,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000026,Huntington Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",72,86.56,106303,0.83,0.66,1.04,Same,No,12,0.99,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000026,"Huntington Memorial Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,3,2.2,4273,1.36,0.35,3.7,Same,No,,,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930001543,"Kaiser Foundation Hospital, Baldwin Park",Acute Care Hospital,Major Teaching,19,20.34,41518,0.93,0.58,1.43,Same,No,12,1.2,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000074,"Kaiser Foundation Hospital, Downey",Acute Care Hospital,Major Teaching,29,48.98,69204,0.59,0.4,0.84,Better,Yes,12,1.14,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000072,"Kaiser Foundation Hospital, Los Angeles",Acute Care Hospital,Major Teaching,38,75.18,115864,0.51,0.36,0.69,Better,Yes,12,1.57,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000050,"Kaiser Foundation Hospital, Panorama City",Acute Care Hospital,Major Teaching,7,22.84,35106,0.31,0.13,0.61,Better,Yes,12,1.04,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000071,"Kaiser Foundation Hospital, South Bay",Acute Care Hospital,Major Teaching,8,29.55,46938,0.27,0.13,0.51,Better,Yes,12,1.94,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000076,"Kaiser Foundation Hospital, West LA",Acute Care Hospital,Major Teaching,13,23.05,36434,0.56,0.31,0.94,Better,Yes,12,1.51,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000290,"Kaiser Foundation Hospital, Woodland Hills",Acute Care Hospital,Major Teaching,7,22.05,35263,0.32,0.14,0.63,Better,Yes,12,1.44,
2019,California,Los Angeles,Clostridioides difficile Infection (CDI),930000912,Keck Hospital of USC,Acute Care Hospital,Major Teaching,40,41.99,85755,0.95,0.69,1.28,Same,No,12,1.43,
