Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days
2020H1,California,Humboldt,Clostridioides difficile Infection (CDI),110000057,Jerold Phelps Community Hospital,Critical Access Hospital,Critical Access,0,0.11,477
2020H1,California,Humboldt,Clostridioides difficile Infection (CDI),110000021,Mad River Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,1.14,3587
2020H1,California,Humboldt,Clostridioides difficile Infection (CDI),110000045,Providence Redwood Memorial Hospital,Critical Access Hospital,Critical Access,0,0.44,1993
2020H1,California,Humboldt,Clostridioides difficile Infection (CDI),110000067,"Providence St. Joseph Hospital, Eureka",Acute Care Hospital,Major Teaching,2,6.74,15586
2020H1,California,Humboldt,Clostridioides difficile Infection (CDI),110000069,The General Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.45,1446
2020H1,California,Imperial,Clostridioides difficile Infection (CDI),090000040,El Centro Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",7,11.07,12508
2020H1,California,Imperial,Clostridioides difficile Infection (CDI),090000146,Pioneers Memorial Healthcare District,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,Inyo,Clostridioides difficile Infection (CDI),240000037,Northern Inyo Hospital,Critical Access Hospital,Critical Access,2,0.31,1397
2020H1,California,Inyo,Clostridioides difficile Infection (CDI),240000102,Southern Inyo Hospital,Critical Access Hospital,Critical Access,,,
2020H1,California,Kern,Clostridioides difficile Infection (CDI),120000411,Adventist Health Bakersfield,Acute Care Hospital,Major Teaching,,,
2020H1,California,Kern,Clostridioides difficile Infection (CDI),120000336,Adventist Health Delano,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,Kern,Clostridioides difficile Infection (CDI),120000413,Adventist Health Tehachapi Valley,Critical Access Hospital,Critical Access,,,
2020H1,California,Kern,Clostridioides difficile Infection (CDI),120001330,Bakersfield Heart Hospital,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,Kern,Clostridioides difficile Infection (CDI),120000338,Bakersfield Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",8,18.61,30336
2020H1,California,Kern,Clostridioides difficile Infection (CDI),120000555,Encompass Health Rehabilitation Hospital of Bakersfield,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,1,4.63,10831
2020H1,California,Kern,Clostridioides difficile Infection (CDI),120000319,"Good Samaritan Hospital, Bakersfield",Acute Care Hospital,"Community, <125 Beds",1,0.59,2704
2020H1,California,Kern,Clostridioides difficile Infection (CDI),120000342,Kern Medical Center,Acute Care Hospital,Major Teaching,10,9.97,20600
2020H1,California,Kern,Clostridioides difficile Infection (CDI),120000344,Kern Valley Healthcare District,Critical Access Hospital,Critical Access,1,0.58,1275
2020H1,California,Kern,Clostridioides difficile Infection (CDI),120000404,Mercy Hospital,Acute Care Hospital,"Community, <125 Beds",4,6.25,10415
2020H1,California,Kern,Clostridioides difficile Infection (CDI),120000701,Mercy Southwest Hospital,Acute Care Hospital,"Community, <125 Beds",1,5.95,11732
2020H1,California,Kern,Clostridioides difficile Infection (CDI),120000409,Ridgecrest Regional Hospital,Critical Access Hospital,Critical Access,0,1.43,3156
2020H1,California,Kings,Clostridioides difficile Infection (CDI),630012960,Adventist Health Hanford,Acute Care Hospital,"Community, 125-250 Beds",,,
2020H1,California,Lake,Clostridioides difficile Infection (CDI),110000044,Adventist Health Clearlake,Critical Access Hospital,Critical Access,0,0.36,1650
2020H1,California,Lake,Clostridioides difficile Infection (CDI),110000019,Sutter Lakeside Hospital,Critical Access Hospital,Critical Access,0,0.66,2988
2020H1,California,Lassen,Clostridioides difficile Infection (CDI),230000008,Banner Lassen Medical Center,Critical Access Hospital,Critical Access,0,0.55,1695
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000059,Adventist Health Glendale,Acute Care Hospital,"Community, >250 Beds",,,
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000191,Adventist Health White Memorial,Acute Care Hospital,Major Teaching,,,
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000005,Alhambra Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",4,3.78,9037
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000005,Alhambra Hospital Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.61,1303
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000008,Antelope Valley Hospital,Acute Care Hospital,Major Teaching,15,26.3,40168
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000014,Barlow Respiratory Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,9,23.95,14380
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000012,Beverly Hospital,Acute Care Hospital,"Community, 125-250 Beds",6,8.65,8146
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000002,"California Hospital Medical Center, Los Angeles",Acute Care Hospital,Major Teaching,8,20.82,32040
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000031,California Rehabilitation Institute,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,10,14.38,22981
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000020,Casa Colina Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.63,2407
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000020,Casa Colina Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,2,4.16,13438
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000013,Catalina Island Medical Center,Critical Access Hospital,Critical Access,0,0.02,90
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000044,Cedars-Sinai Marina Del Rey Hospital,Acute Care Hospital,"Community, 125-250 Beds",5,3.63,9612
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000004,Cedars-Sinai Medical Center,Acute Care Hospital,Major Teaching,,,
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000022,Centinela Hospital Medical Center,Acute Care Hospital,"Community, >250 Beds",0,21.18,30860
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000022,Centinela Hospital Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.4,2222
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000034,Children's Hospital Los Angeles,Acute Care Hospital,Pediatric,33,14.85,44780
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000036,City of Hope Helford Clinical Research Hospital,Acute Care Hospital,"Community, 125-250 Beds",50,38.57,35705
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000038,Coast Plaza Hospital,Acute Care Hospital,"Community, <125 Beds",1,2.5,5479
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000114,College Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,4.65,14888
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000040,Community Hospital of Huntington Park,Acute Care Hospital,"Community, <125 Beds",0,1.72,7448
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000158,DOCS Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.05,336
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000053,East Los Angeles Doctors Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,4.8,10243
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000056,Emanate Health Foothill Presbyterian Hospital,Acute Care Hospital,"Community, <125 Beds",3,4.75,11188
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000070,Emanate Health Inter-Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",9,7.24,17610
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000132,Emanate Health Queen of the Valley Hospital,Acute Care Hospital,"Community, >250 Beds",6,10.81,23925
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000132,Emanate Health Queen of the Valley Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.51,1324
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000054,Encino Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",4,2.23,2762
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000054,Encino Hospital Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.61,1394
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000058,Garfield Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,8.2,17654
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000058,Garfield Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,2,1.06,2751
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000093,Glendale Memorial Hospital and Health Center,Acute Care Hospital,"Community, >250 Beds",5,8.79,13188
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000093,Glendale Memorial Hospital and Health Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.71,1639
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000068,"Good Samaritan Hospital, Los Angeles",Acute Care Hospital,"Community, >250 Beds",9,21.68,35335
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000068,"Good Samaritan Hospital, Los Angeles",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.48,2779
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000062,Greater El Monte Community Hospital,Acute Care Hospital,"Community, <125 Beds",9,6.45,9296
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000063,Henry Mayo Newhall Hospital,Acute Care Hospital,"Community, >250 Beds",3,10.37,21564
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000063,Henry Mayo Newhall Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.59,1475
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000065,Hollywood Presbyterian Medical Center,Acute Care Hospital,"Community, >250 Beds",1,13.07,31501
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000065,Hollywood Presbyterian Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.11,2357
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000026,Huntington Hospital,Acute Care Hospital,"Community, >250 Beds",21,36.92,48673
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000026,Huntington Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.35,2612
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930001543,"Kaiser Foundation Hospital, Baldwin Park",Acute Care Hospital,Major Teaching,6,9.38,19105
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000074,"Kaiser Foundation Hospital, Downey",Acute Care Hospital,Major Teaching,16,22.49,31261
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000072,"Kaiser Foundation Hospital, Los Angeles",Acute Care Hospital,Major Teaching,15,30.83,48363
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000050,"Kaiser Foundation Hospital, Panorama City",Acute Care Hospital,Major Teaching,7,8.81,15153
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000071,"Kaiser Foundation Hospital, South Bay",Acute Care Hospital,Major Teaching,3,14.82,22903
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000076,"Kaiser Foundation Hospital, West LA",Acute Care Hospital,"Community, >250 Beds",4,11.08,19143
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000290,"Kaiser Foundation Hospital, Woodland Hills",Acute Care Hospital,Major Teaching,3,10.62,16758
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000912,Keck Hospital of USC,Acute Care Hospital,Major Teaching,9,8.24,16245
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000912,Keck Hospital of USC,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.2,345
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000033,Kindred Hospital Paramount,Long-Term Acute Care Hospital,Long-Term Acute Care,3,15.21,14998
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000144,"Kindred Hospital, Baldwin Park",Long-Term Acute Care Hospital,Long-Term Acute Care,1,15.85,13237
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000089,"Kindred Hospital, La Mirada",Long-Term Acute Care Hospital,Long-Term Acute Care,3,12.35,8746
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000088,"Kindred Hospital, Los Angeles",Long-Term Acute Care Hospital,Long-Term Acute Care,17,19.68,13981
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000042,"Kindred Hospital, San Gabriel Valley",Long-Term Acute Care Hospital,Long-Term Acute Care,10,13.38,10168
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000039,"Kindred Hospital, South Bay",Long-Term Acute Care Hospital,Long-Term Acute Care,7,10.14,8802
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000035,L.A. Downtown Medical Center,Acute Care Hospital,"Community, <125 Beds",0,3.6,8608
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),060000040,LAC+USC Medical Center,Acute Care Hospital,Major Teaching,16,47.31,72353
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),060000027,LAC/Harbor UCLA Medical Center,Acute Care Hospital,Major Teaching,19,24.87,35833
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),060000038,LAC/Olive View UCLA Medical Center,Acute Care Hospital,Major Teaching,11,12.74,19948
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),060000028,LAC/Rancho Los Amigos National Rehabilitation Center,Acute Care Hospital,"Community, 125-250 Beds",1,2.52,9270
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),060000028,LAC/Rancho Los Amigos National Rehabilitation Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,3,5.39,14001
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000047,Lakewood Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",6,9.13,21825
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000085,Los Angeles Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,3.6,12114
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),060000035,Martin Luther King Jr. Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",3,10.63,20658
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000092,Memorial Hospital of Gardena,Acute Care Hospital,"Community, <125 Beds",3,4.81,12963
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000095,MemorialCare Long Beach Medical Center,Acute Care Hospital,Major Teaching,9,19.73,43441
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000095,MemorialCare Long Beach Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.33,3451
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930001709,MemorialCare Miller Children's & Women's Hospital Long Beach,Acute Care Hospital,Pediatric,5,5.44,20844
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000096,Methodist Hospital of Southern California,Acute Care Hospital,"Community, >250 Beds",7,14.76,30930
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000096,Methodist Hospital of Southern California,Rehabilitation Hospital or Unit,Rehabilitation Unit,5,1.62,4068
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000027,Mission Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",2,7.54,19221
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000107,Monrovia Memorial Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,1,3.35,4031
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000108,Monterey Park Hospital,Acute Care Hospital,"Community, <125 Beds",1,1.57,8090
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000111,Northridge Hospital Medical Center,Acute Care Hospital,Major Teaching,6,19.4,24328
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000111,Northridge Hospital Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.5,2901
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000112,Norwalk Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,2.8,6937
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000105,Olympia Medical Center,Acute Care Hospital,"Community, 125-250 Beds",5,4.58,12563
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000052,"PIH Health Hospital, Downey",Acute Care Hospital,Major Teaching,3,11.87,16802
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000099,"PIH Health Hospital, Whittier",Acute Care Hospital,"Community, >250 Beds",19,30.71,35110
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000099,"PIH Health Hospital, Whittier",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.88,1395
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000133,Pacifica Hospital of the Valley,Acute Care Hospital,"Community, 125-250 Beds",0,1.37,4654
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000077,Palmdale Regional Medical Center,Acute Care Hospital,Major Teaching,6,11.7,10686
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000077,Palmdale Regional Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.55,3024
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000123,Pomona Valley Hospital Medical Center,Acute Care Hospital,Major Teaching,17,28.35,35541
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000091,Providence Cedars-Sinai Tarzana Medical Center,Acute Care Hospital,"Community, 125-250 Beds",4,10.19,20970
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000066,Providence Holy Cross Medical Center,Acute Care Hospital,"Community, >250 Beds",5,14.95,32629
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000066,Providence Holy Cross Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.74,1923
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000157,Providence Little Company of Mary Medical Center San Pedro,Acute Care Hospital,"Community, >250 Beds",2,4.31,8852
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000157,Providence Little Company of Mary Medical Center San Pedro,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.13,2184
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000081,Providence Little Company of Mary Medical Center Torrance,Acute Care Hospital,"Community, >250 Beds",3,12.67,28045
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000100,Providence Saint John's Health Center,Acute Care Hospital,"Community, >250 Beds",6,10.63,25994
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000101,Providence Saint Joseph Medical Center,Acute Care Hospital,"Community, >250 Beds",10,21.24,35896
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000101,Providence Saint Joseph Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.42,1171
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000162,Ronald Reagan UCLA Medical Center,Acute Care Hospital,Major Teaching,67,44.94,66102
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000125,San Dimas Community Hospital,Acute Care Hospital,"Community, <125 Beds",3,2.67,6918
