Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,"On_Track_Toward_2020_Goal (0.82, 2018)",Months,SIR_2015,Notes
2018,California,Clostridioides difficile Infection (CDI),140000196,"John Muir Medical Center, Concord Campus",Contra Costa,Acute Care Hospital,Major Teaching,30,46.89,54179,0.64,0.44,0.90,Better,Yes,12,1.15,
2018,California,Clostridioides difficile Infection (CDI),140000187,"John Muir Medical Center, Walnut Creek Campus",Contra Costa,Acute Care Hospital,Major Teaching,42,68.99,81638,0.61,0.44,0.82,Better,Yes,12,1.04,
2018,California,Clostridioides difficile Infection (CDI),140000187,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Contra Costa,Rehabilitation Hospital or Unit,Rehabilitation Unit,2,4.07,7897,0.49,0.08,1.62,Same,Yes,12,0.23,
2018,California,Clostridioides difficile Infection (CDI),630011203,"Kaiser Foundation Hospital, Antioch",Contra Costa,Acute Care Hospital,Community (125-250 Beds),8,18.27,28677,0.44,0.20,0.83,Better,Yes,12,1.25,
2018,California,Clostridioides difficile Infection (CDI),140000191,"Kaiser Foundation Hospital, Richmond Campus",Contra Costa,Acute Care Hospital,Major Teaching,4,6.23,14160,0.64,0.20,1.55,Same,Yes,12,,
2018,California,Clostridioides difficile Infection (CDI),140000190,"Kaiser Foundation Hospital, Walnut Creek",Contra Costa,Acute Care Hospital,Community (125-250 Beds),29,38.06,51120,0.76,0.52,1.08,Same,Yes,12,1.42,
2018,California,Clostridioides difficile Infection (CDI),140000704,San Ramon Regional Medical Center,Contra Costa,Acute Care Hospital,Community (<125 Beds),2,5.66,15825,0.35,0.06,1.17,Same,Yes,12,1.94,"* Hospitals reported combined data, see Data Dictionary"
2018,California,Clostridioides difficile Infection (CDI),140000016,Sutter Delta Medical Center,Contra Costa,Acute Care Hospital,Community (125-250 Beds),10,17.95,29659,0.56,0.28,0.99,Better,Yes,12,1.09,
2018,California,Clostridioides difficile Infection (CDI),110000049,Sutter Coast Hospital,Del Norte,Acute Care Hospital,Community (<125 Beds),1,4.39,7513,0.23,0.01,1.12,Same,Yes,12,4.13,
2018,California,Clostridioides difficile Infection (CDI),110000049,"Sutter Coast Hospital, Rehabilitation Unit",Del Norte,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.92,2313,0.00,0.00,4.01,Same,Yes,12,,¥ See Data Dictionary
2018,California,Clostridioides difficile Infection (CDI),030000114,Barton Memorial Hospital,El Dorado,Acute Care Hospital,Community (<125 Beds),8,2.01,6890,3.98,1.85,7.56,Worse,No,12,1,
2018,California,Clostridioides difficile Infection (CDI),030000121,Marshall Medical Center,El Dorado,Acute Care Hospital,Community (<125 Beds),21,22.53,20542,0.93,0.59,1.40,Same,No,12,1.1,
2018,California,Clostridioides difficile Infection (CDI),040000124,Adventist Health Reedley,Fresno,Acute Care Hospital,Community (<125 Beds),0,1.20,4759,0.00,0.00,2.50,Same,Yes,12,0,
2018,California,Clostridioides difficile Infection (CDI),040000122,Adventist Health Selma,Fresno,Acute Care Hospital,Community (<125 Beds),0,1.36,5306,0.00,0.00,2.20,Same,Yes,12,1.36,
2018,California,Clostridioides difficile Infection (CDI),040000095,Clovis Community Medical Center,Fresno,Acute Care Hospital,Community (125-250 Beds),14,24.66,60754,0.57,0.32,0.93,Better,Yes,12,1,
2018,California,Clostridioides difficile Infection (CDI),040000096,Coalinga Regional Medical Center,Fresno,Acute Care Hospital,Community (<125 Beds),0,0.04,239,,,,,,3,,
2018,California,Clostridioides difficile Infection (CDI),040000101,Community Regional Medical Center,Fresno,Acute Care Hospital,Major Teaching,52,83.28,163210,0.62,0.47,0.81,Better,Yes,12,1.17,
2018,California,Clostridioides difficile Infection (CDI),040000101,"Community Regional Medical Center, Rehabilitation Unit",Fresno,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,3.04,9666,0.00,0.00,0.98,Better,Yes,12,0.41,
2018,California,Clostridioides difficile Infection (CDI),040001397,Fresno Heart and Surgical Hospital,Fresno,Acute Care Hospital,Community (<125 Beds),2,3.73,11788,0.54,0.09,1.77,Same,Yes,12,2.11,
2018,California,Clostridioides difficile Infection (CDI),040000254,Fresno Surgical Hospital,Fresno,Acute Care Hospital,Community (<125 Beds),0,0.34,2605,0.00,0.00,10.89,Same,Yes,12,0,¥ See Data Dictionary
2018,California,Clostridioides difficile Infection (CDI),040000949,"Kaiser Foundation Hospital, Fresno",Fresno,Acute Care Hospital,Community (125-250 Beds),14,20.43,32953,0.69,0.39,1.12,Same,Yes,12,1.11,
2018,California,Clostridioides difficile Infection (CDI),040000126,Saint Agnes Medical Center,Fresno,Acute Care Hospital,Community (>250 Beds),38,65.12,106884,0.58,0.42,0.79,Better,Yes,12,0.58,
2018,California,Clostridioides difficile Infection (CDI),040000613,San Joaquin Valley Rehabilitation Hospital,Fresno,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,5.78,18912,0.00,0.00,0.52,Better,Yes,12,0,
2018,California,Clostridioides difficile Infection (CDI),230000006,Glenn Medical Center,Glenn,Critical Access Hospital,Critical Access,0,1.06,4784,0.00,0.00,2.84,Same,Yes,11,0,
2018,California,Clostridioides difficile Infection (CDI),110000057,Jerold Phelps Community Hospital,Humboldt,Critical Access Hospital,Critical Access,0,0.26,1171,0.00,0.00,14.26,Same,Yes,12,,¥ See Data Dictionary
2018,California,Clostridioides difficile Infection (CDI),110000021,Mad River Community Hospital,Humboldt,Acute Care Hospital,Community (<125 Beds),1,1.64,8603,0.61,0.03,3.01,Same,Yes,12,0,
2018,California,Clostridioides difficile Infection (CDI),110000045,Redwood Memorial Hospital,Humboldt,Critical Access Hospital,Critical Access,0,1.38,5113,0.00,0.00,2.17,Same,Yes,12,0,
2018,California,Clostridioides difficile Infection (CDI),110000067,"St. Joseph Hospital, Eureka",Humboldt,Acute Care Hospital,Community (125-250 Beds),5,12.68,31928,0.39,0.14,0.87,Better,Yes,12,1.4,
2018,California,Clostridioides difficile Infection (CDI),110000069,The General Hospital,Humboldt,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.64,2546,0.00,0.00,5.73,Same,Yes,12,2.62,¥ See Data Dictionary
2018,California,Clostridioides difficile Infection (CDI),090000040,El Centro Regional Medical Center,Imperial,Acute Care Hospital,Community (<125 Beds),8,13.72,24751,0.58,0.27,1.11,Same,Yes,12,1.1,
2018,California,Clostridioides difficile Infection (CDI),090000146,Pioneers Memorial Healthcare District,Imperial,Acute Care Hospital,Community (<125 Beds),10,12.01,19009,0.83,0.42,1.48,Same,No,12,1.35,
2018,California,Clostridioides difficile Infection (CDI),240000037,Northern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,3,1.46,3640,2.06,0.52,5.60,Same,No,12,0.63,
2018,California,Clostridioides difficile Infection (CDI),240000102,Southern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,,,,,,,,,,,
2018,California,Clostridioides difficile Infection (CDI),120000411,Adventist Health Bakersfield,Kern,Acute Care Hospital,Community (>250 Beds),11,44.17,68410,0.25,0.13,0.43,Better,Yes,12,1.13,
2018,California,Clostridioides difficile Infection (CDI),120000413,Adventist Health Tehachapi Valley,Kern,Critical Access Hospital,Critical Access,0,0.07,335,,,,,,12,0.63,
2018,California,Clostridioides difficile Infection (CDI),120001330,Bakersfield Heart Hospital,Kern,Acute Care Hospital,Community (<125 Beds),13,7.24,12029,1.80,1.00,2.99,Same,No,12,0.59,
2018,California,Clostridioides difficile Infection (CDI),120000338,Bakersfield Memorial Hospital,Kern,Acute Care Hospital,Community (>250 Beds),34,36.87,58850,0.92,0.65,1.27,Same,No,12,0.96,
2018,California,Clostridioides difficile Infection (CDI),120000336,Delano Regional Medical Center,Kern,Acute Care Hospital,Community (<125 Beds),1,3.05,8339,0.33,0.02,1.62,Same,Yes,12,2.66,
2018,California,Clostridioides difficile Infection (CDI),120000319,"Good Samaritan Hospital, Bakersfield",Kern,Acute Care Hospital,Community (<125 Beds),1,1.17,5040,0.85,0.04,4.20,Same,No,12,0.6,
2018,California,Clostridioides difficile Infection (CDI),120000555,Healthsouth Bakersfield Rehabilitation Hospital,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,6,6.21,21911,0.97,0.39,2.01,Same,No,12,0.51,
2018,California,Clostridioides difficile Infection (CDI),120000342,Kern Medical Center,Kern,Acute Care Hospital,Major Teaching,5,20.20,38855,0.25,0.09,0.55,Better,Yes,12,0.43,
2018,California,Clostridioides difficile Infection (CDI),120000344,Kern Valley Healthcare District,Kern,Critical Access Hospital,Critical Access,1,0.82,2448,1.22,0.03,6.81,Same,No,12,1.41,¥ See Data Dictionary
2018,California,Clostridioides difficile Infection (CDI),120000404,Mercy Hospital,Kern,Acute Care Hospital,Community (<125 Beds),11,13.32,17898,0.83,0.43,1.44,Same,No,12,0.75,
2018,California,Clostridioides difficile Infection (CDI),120000701,Mercy Southwest Hospital,Kern,Acute Care Hospital,Community (<125 Beds),3,12.09,20227,0.25,0.06,0.68,Better,Yes,12,0.62,
2018,California,Clostridioides difficile Infection (CDI),120000409,Ridgecrest Regional Hospital,Kern,Critical Access Hospital,Critical Access,1,2.55,6364,0.39,0.02,1.93,Same,Yes,12,1.09,
2018,California,Clostridioides difficile Infection (CDI),630012960,Adventist Health Hanford,Kings,Acute Care Hospital,Community (125-250 Beds),16,26.23,39578,0.61,0.36,0.97,Better,Yes,12,0.85,
2018,California,Clostridioides difficile Infection (CDI),110000044,Adventist Health Clearlake,Lake,Critical Access Hospital,Critical Access,0,1.15,5215,0.00,0.00,2.60,Same,Yes,12,0.69,
2018,California,Clostridioides difficile Infection (CDI),110000019,Sutter Lakeside Hospital,Lake,Critical Access Hospital,Critical Access,0,2.94,6485,0.00,0.00,1.02,Same,Yes,12,3.09,
2018,California,Clostridioides difficile Infection (CDI),230000008,Banner Lassen Medical Center,Lassen,Critical Access Hospital,Critical Access,0,1.54,3855,0.00,0.00,1.95,Same,Yes,12,0,
2018,California,Clostridioides difficile Infection (CDI),930000059,Adventist Health Glendale,Los Angeles,Acute Care Hospital,Community (>250 Beds),22,41.73,72055,0.53,0.34,0.79,Better,Yes,12,1.04,
2018,California,Clostridioides difficile Infection (CDI),930000059,"Adventist Health Glendale, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,2,2.38,7022,0.84,0.14,2.78,Same,No,12,1.04,
2018,California,Clostridioides difficile Infection (CDI),930000191,Adventist Health White Memorial,Los Angeles,Acute Care Hospital,Major Teaching,17,35.36,73938,0.48,0.29,0.75,Better,Yes,12,1.15,
2018,California,Clostridioides difficile Infection (CDI),930000191,"Adventist Health White Memorial, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.39,2973,0.00,0.00,2.15,Same,Yes,12,1.62,
2018,California,Clostridioides difficile Infection (CDI),930000005,Alhambra Hospital Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),3,10.54,20635,0.29,0.07,0.78,Better,Yes,12,1.17,
2018,California,Clostridioides difficile Infection (CDI),930000005,"Alhambra Hospital Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.55,3310,0.00,0.00,1.93,Same,Yes,12,1,
2018,California,Clostridioides difficile Infection (CDI),930000008,Antelope Valley Hospital,Los Angeles,Acute Care Hospital,Community (>250 Beds),40,57.66,81961,0.69,0.50,0.94,Better,Yes,12,1.25,
2018,California,Clostridioides difficile Infection (CDI),930000014,Barlow Respiratory Hospital,Los Angeles,Long-term Acute Care Hospital,LTAC,35,37.65,28818,0.93,0.66,1.28,Same,No,12,1.16,
2018,California,Clostridioides difficile Infection (CDI),930000012,Beverly Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),30,26.80,37895,1.12,0.77,1.58,Same,No,12,1.67,
2018,California,Clostridioides difficile Infection (CDI),930000002,"California Hospital Medical Center, Los Angeles",Los Angeles,Acute Care Hospital,Major Teaching,30,43.86,68583,0.68,0.47,0.96,Better,Yes,12,0.34,
2018,California,Clostridioides difficile Infection (CDI),930000031,California Rehabilitation Institute,Los Angeles,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,18,21.64,37662,0.83,0.51,1.29,Same,No,12,,
2018,California,Clostridioides difficile Infection (CDI),930000020,Casa Colina Hospital,Los Angeles,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,7,11.44,21866,0.61,0.27,1.21,Same,Yes,12,1.36,
2018,California,Clostridioides difficile Infection (CDI),930000020,Casa Colina Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),1,1.91,4485,0.52,0.03,2.58,Same,Yes,12,,
2018,California,Clostridioides difficile Infection (CDI),930000013,Catalina Island Medical Center,Los Angeles,Critical Access Hospital,Critical Access,0,0.09,399,,,,,,12,,
2018,California,Clostridioides difficile Infection (CDI),930000044,Cedars-Sinai Marina Del Rey Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),4,8.07,15010,0.50,0.16,1.20,Same,Yes,12,1.71,
2018,California,Clostridioides difficile Infection (CDI),930000004,Cedars-Sinai Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,93,142.58,254771,0.65,0.53,0.80,Better,Yes,12,1.36,
2018,California,Clostridioides difficile Infection (CDI),930000022,Centinela Hospital Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),4,37.99,60338,0.11,0.03,0.25,Better,Yes,12,0.98,
2018,California,Clostridioides difficile Infection (CDI),930000022,"Centinela Hospital Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.73,3259,0.00,0.00,1.73,Same,Yes,12,0.42,
2018,California,Clostridioides difficile Infection (CDI),930000034,Children's Hospital Los Angeles,Los Angeles,Acute Care Hospital,Pediatric,53,35.40,95353,1.50,1.13,1.94,Worse,No,12,2.13,
2018,California,Clostridioides difficile Infection (CDI),930000036,City of Hope Helford Clinical Research Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),140,77.79,75335,1.80,1.52,2.12,Worse,No,12,1.25,
2018,California,Clostridioides difficile Infection (CDI),930000038,Coast Plaza Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),2,5.29,10860,0.38,0.06,1.25,Same,Yes,12,0,
2018,California,Clostridioides difficile Infection (CDI),930000114,College Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,3,9.65,28593,0.31,0.08,0.85,Better,Yes,12,0.46,
2018,California,Clostridioides difficile Infection (CDI),930000082,Community Hospital Long Beach,Los Angeles,Acute Care Hospital,Community (<125 Beds),6,2.52,4448,2.38,0.96,4.94,Same,No,3,1.25,
2018,California,Clostridioides difficile Infection (CDI),930000040,Community Hospital of Huntington Park,Los Angeles,Acute Care Hospital,Community (<125 Beds),1,2.57,13867,0.39,0.02,1.92,Same,Yes,12,0.38,
2018,California,Clostridioides difficile Infection (CDI),930000053,East Los Angeles Doctors Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),2,4.40,12536,0.45,0.08,1.50,Same,Yes,12,0.5,
2018,California,Clostridioides difficile Infection (CDI),930000056,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),7,9.85,22632,0.71,0.31,1.41,Same,Yes,12,0.87,
2018,California,Clostridioides difficile Infection (CDI),930000070,Emanate Health Inter-Community Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),18,16.89,33674,1.07,0.65,1.65,Same,No,12,0.56,
2018,California,Clostridioides difficile Infection (CDI),930000132,Emanate Health Queen of the Valley Hospital,Los Angeles,Acute Care Hospital,Community (>250 Beds),14,26.37,49601,0.53,0.30,0.87,Better,Yes,12,0.26,
2018,California,Clostridioides difficile Infection (CDI),930000132,"Emanate Health Queen of the Valley Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.56,3603,0.64,0.03,3.16,Same,Yes,12,2.18,
2018,California,Clostridioides difficile Infection (CDI),930000054,Encino Hospital Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),2,8.36,12369,0.24,0.04,0.79,Better,Yes,12,1.02,
2018,California,Clostridioides difficile Infection (CDI),930000054,"Encino Hospital Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.90,3573,0.53,0.03,2.59,Same,Yes,12,,
2018,California,Clostridioides difficile Infection (CDI),930000058,Garfield Medical Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),12,30.24,47312,0.40,0.22,0.68,Better,Yes,12,1.48,
2018,California,Clostridioides difficile Infection (CDI),930000058,"Garfield Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,3.12,6041,0.00,0.00,0.96,Better,Yes,12,3.03,
2018,California,Clostridioides difficile Infection (CDI),930000093,Glendale Memorial Hospital and Health Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),12,29.89,42304,0.40,0.22,0.68,Better,Yes,12,1.25,
2018,California,Clostridioides difficile Infection (CDI),930000093,"Glendale Memorial Hospital and Health Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.92,3599,0.52,0.03,2.58,Same,Yes,12,1.67,
2018,California,Clostridioides difficile Infection (CDI),930000060,Glendora Community Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),0,7.34,15533,0.00,0.00,0.41,Better,Yes,12,0.95,
2018,California,Clostridioides difficile Infection (CDI),930000068,"Good Samaritan Hospital, Los Angeles",Los Angeles,Acute Care Hospital,Community (>250 Beds),21,30.55,57184,0.69,0.44,1.03,Same,Yes,12,1.09,
2018,California,Clostridioides difficile Infection (CDI),930000068,"Good Samaritan Hospital, Los Angeles, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.38,968,0.00,0.00,9.59,Same,Yes,4,,¥ See Data Dictionary
2018,California,Clostridioides difficile Infection (CDI),930000062,Greater El Monte Community Hospital,Los Angeles,Acute Care Hospital,Community (<125 Beds),3,7.92,16026,0.38,0.10,1.03,Same,Yes,12,0.38,
2018,California,Clostridioides difficile Infection (CDI),930000063,Henry Mayo Newhall Hospital,Los Angeles,Acute Care Hospital,Community (>250 Beds),14,29.66,47630,0.47,0.27,0.77,Better,Yes,12,0.95,
2018,California,Clostridioides difficile Infection (CDI),930000063,"Henry Mayo Newhall Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.86,1957,0.00,0.00,4.31,Same,Yes,12,0,¥ See Data Dictionary
2018,California,Clostridioides difficile Infection (CDI),930000065,Hollywood Presbyterian Medical Center,Los Angeles,Acute Care Hospital,Community (>250 Beds),8,20.25,44603,0.40,0.18,0.75,Better,Yes,12,0.84,
2018,California,Clostridioides difficile Infection (CDI),930000065,"Hollywood Presbyterian Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,2.13,4539,0.00,0.00,1.41,Same,Yes,12,0.56,
2018,California,Clostridioides difficile Infection (CDI),930000026,Huntington Memorial Hospital,Los Angeles,Acute Care Hospital,Community (>250 Beds),83,92.34,107933,0.90,0.72,1.11,Same,No,12,0.99,
2018,California,Clostridioides difficile Infection (CDI),930000026,"Huntington Memorial Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,2.48,4797,0.40,0.02,1.99,Same,Yes,12,,
2018,California,Clostridioides difficile Infection (CDI),930001543,"Kaiser Foundation Hospital, Baldwin Park",Los Angeles,Acute Care Hospital,Major Teaching,20,20.97,42417,0.95,0.60,1.45,Same,No,12,1.2,
2018,California,Clostridioides difficile Infection (CDI),930000074,"Kaiser Foundation Hospital, Downey",Los Angeles,Acute Care Hospital,Community (>250 Beds),41,51.44,71905,0.80,0.58,1.07,Same,Yes,12,1.14,
2018,California,Clostridioides difficile Infection (CDI),930000072,"Kaiser Foundation Hospital, Los Angeles",Los Angeles,Acute Care Hospital,Major Teaching,50,79.04,118535,0.63,0.48,0.83,Better,Yes,12,1.57,
2018,California,Clostridioides difficile Infection (CDI),930000050,"Kaiser Foundation Hospital, Panorama City",Los Angeles,Acute Care Hospital,Community (125-250 Beds),5,22.04,34471,0.23,0.08,0.50,Better,Yes,12,1.04,
2018,California,Clostridioides difficile Infection (CDI),930000071,"Kaiser Foundation Hospital, South Bay",Los Angeles,Acute Care Hospital,Community (>250 Beds),4,27.03,44687,0.15,0.05,0.36,Better,Yes,12,1.94,
2018,California,Clostridioides difficile Infection (CDI),930000076,"Kaiser Foundation Hospital, West LA",Los Angeles,Acute Care Hospital,Community (125-250 Beds),20,23.63,37403,0.85,0.53,1.28,Same,No,12,1.51,
2018,California,Clostridioides difficile Infection (CDI),930000290,"Kaiser Foundation Hospital, Woodland Hills",Los Angeles,Acute Care Hospital,Community (>250 Beds),14,20.82,35844,0.67,0.38,1.10,Same,Yes,12,1.44,
