Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,SIR_2015,Months,Notes
2021,California,Contra Costa,Clostridioides difficile Infection (CDI),140000187,"John Muir Medical Center, Walnut Creek Campus",Acute Care Hospital,Major Teaching,42,70.39,82310,0.6,0.44,0.8,Better,Yes,1.04,12,
2021,California,Contra Costa,Clostridioides difficile Infection (CDI),140000187,"John Muir Medical Center, Walnut Creek Campus",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,3.5,6776,0.29,0.01,1.41,Same,Yes,0.23,12,
2021,California,Contra Costa,Clostridioides difficile Infection (CDI),630011203,"Kaiser Foundation Hospital, Antioch",Acute Care Hospital,Major Teaching,13,23.26,34677,0.56,0.31,0.93,Better,Yes,1.25,12,
2021,California,Contra Costa,Clostridioides difficile Infection (CDI),140000191,"Kaiser Foundation Hospital, Richmond Campus",Acute Care Hospital,Major Teaching,2,6.8,15418,0.29,0.05,0.97,Better,Yes,,12,
2021,California,Contra Costa,Clostridioides difficile Infection (CDI),140000190,"Kaiser Foundation Hospital, Walnut Creek",Acute Care Hospital,"Community, >250 Beds",24,38.44,59033,0.62,0.41,0.92,Better,Yes,1.42,12,
2021,California,Contra Costa,Clostridioides difficile Infection (CDI),140000704,San Ramon Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",4,9.23,15963,0.43,0.14,1.05,Same,Yes,1.94,12,
2021,California,Contra Costa,Clostridioides difficile Infection (CDI),140000016,Sutter Delta Medical Center,Acute Care Hospital,"Community, 125-250 Beds",9,19.17,27197,0.47,0.23,0.86,Better,Yes,1.09,12,
2021,California,Del Norte,Clostridioides difficile Infection (CDI),110000049,Sutter Coast Hospital,Acute Care Hospital,"Community, <125 Beds",2,2.71,7060,0.74,0.12,2.44,Same,No,4.13,12,
2021,California,Del Norte,Clostridioides difficile Infection (CDI),110000049,Sutter Coast Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.53,1992,0,0,6.939,Same,Yes,,12,¥ See Data Dictionary
2021,California,El Dorado,Clostridioides difficile Infection (CDI),030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",2,2.36,6462,0.85,0.14,2.8,Same,No,1,12,
2021,California,El Dorado,Clostridioides difficile Infection (CDI),030000121,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",6,16.37,19092,0.37,0.15,0.76,Better,Yes,1.1,12,
2021,California,Fresno,Clostridioides difficile Infection (CDI),040000124,Adventist Health Reedley,Acute Care Hospital,"Community, <125 Beds",1,1.19,6285,0.84,0.04,4.15,Same,No,0,12,
2021,California,Fresno,Clostridioides difficile Infection (CDI),040000122,Adventist Health Selma,Acute Care Hospital,"Community, <125 Beds",0,0,0,,,,,,1.36,12,"Incomplete Reporter, interpret with caution"
2021,California,Fresno,Clostridioides difficile Infection (CDI),040000095,Clovis Community Medical Center,Acute Care Hospital,Major Teaching,14,28.18,66023,0.5,0.28,0.81,Better,Yes,1,12,
2021,California,Fresno,Clostridioides difficile Infection (CDI),040000096,Coalinga Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.3,1519,0,0,12.436,Same,Yes,,12,¥ See Data Dictionary
2021,California,Fresno,Clostridioides difficile Infection (CDI),040000101,Community Regional Medical Center,Acute Care Hospital,Major Teaching,64,90.63,180965,0.71,0.55,0.9,Better,No,1.17,12,
2021,California,Fresno,Clostridioides difficile Infection (CDI),040000101,Community Regional Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,3.89,10096,0,0,0.77,Better,Yes,0.41,12,
2021,California,Fresno,Clostridioides difficile Infection (CDI),040001397,Fresno Heart and Surgical Hospital,Acute Care Hospital,Major Teaching,4,4.43,15012,0.9,0.29,2.18,Same,No,2.11,12,
2021,California,Fresno,Clostridioides difficile Infection (CDI),040000254,Fresno Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.52,3486,0,0,7.073,Same,Yes,0,12,¥ See Data Dictionary
2021,California,Fresno,Clostridioides difficile Infection (CDI),040000949,"Kaiser Foundation Hospital, Fresno",Acute Care Hospital,"Community, 125-250 Beds",7,25.23,40809,0.28,0.12,0.55,Better,Yes,1.11,12,
2021,California,Fresno,Clostridioides difficile Infection (CDI),040000126,Saint Agnes Medical Center,Acute Care Hospital,Major Teaching,19,48.24,101025,0.39,0.24,0.6,Better,Yes,0.58,12,
2021,California,Fresno,Clostridioides difficile Infection (CDI),040000613,San Joaquin Valley Rehabilitation Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,4.57,17500,0,0,0.66,Better,Yes,0,12,
2021,California,Glenn,Clostridioides difficile Infection (CDI),230000006,Glenn Medical Center,Critical Access Hospital,Critical Access,0,1.95,8813,0,0,1.54,Same,Yes,0,12,
2021,California,Humboldt,Clostridioides difficile Infection (CDI),110000057,Jerold Phelps Community Hospital,Critical Access Hospital,Critical Access,0,0.22,989,0,0,16.888,Same,Yes,,12,¥ See Data Dictionary
2021,California,Humboldt,Clostridioides difficile Infection (CDI),110000021,Mad River Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,1.48,6143,0,0,2.02,Same,Yes,0,12,
2021,California,Humboldt,Clostridioides difficile Infection (CDI),110000045,Providence Redwood Memorial Hospital,Critical Access Hospital,Critical Access,1,1.07,4829,0.94,0.05,4.62,Same,No,0,12,
2021,California,Humboldt,Clostridioides difficile Infection (CDI),110000067,"Providence St. Joseph Hospital, Eureka",Acute Care Hospital,Major Teaching,5,14.36,35241,0.35,0.13,0.77,Better,Yes,1.4,12,
2021,California,Humboldt,Clostridioides difficile Infection (CDI),110000069,The General Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,1,0.93,3018,1.076,0.027,5.993,Same,No,2.62,12,¥ See Data Dictionary
2021,California,Imperial,Clostridioides difficile Infection (CDI),090000040,El Centro Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",7,17.7,28386,0.4,0.17,0.78,Better,Yes,1.1,12,
2021,California,Imperial,Clostridioides difficile Infection (CDI),090000146,Pioneers Memorial Healthcare District,Acute Care Hospital,"Community, <125 Beds",6,10.11,18074,0.59,0.24,1.24,Same,Yes,1.35,12,
2021,California,Inyo,Clostridioides difficile Infection (CDI),240000037,Northern Inyo Hospital,Critical Access Hospital,Critical Access,0,0.85,3066,0,0,4.334,Same,Yes,0.63,12,¥ See Data Dictionary
2021,California,Inyo,Clostridioides difficile Infection (CDI),240000102,Southern Inyo Hospital,Critical Access Hospital,Critical Access,,,,,,,,,,0,"Incomplete Reporter, interpret with caution"
2021,California,Kern,Clostridioides difficile Infection (CDI),120000411,Adventist Health Bakersfield,Acute Care Hospital,Major Teaching,6,31.38,70030,0.19,0.08,0.4,Better,Yes,1.13,12,
2021,California,Kern,Clostridioides difficile Infection (CDI),120000336,Adventist Health Delano,Acute Care Hospital,"Community, <125 Beds",0,3.4,8801,0,0,0.88,Better,Yes,2.66,12,
2021,California,Kern,Clostridioides difficile Infection (CDI),120000413,Adventist Health Tehachapi Valley,Critical Access Hospital,Critical Access,0,2.84,6257,0,0,1.05,Same,Yes,0.63,12,
2021,California,Kern,Clostridioides difficile Infection (CDI),120001330,Bakersfield Heart Hospital,Acute Care Hospital,"Community, <125 Beds",2,5.43,13769,0.37,0.06,1.22,Same,Yes,0.59,12,
2021,California,Kern,Clostridioides difficile Infection (CDI),120000338,Bakersfield Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",13,36.56,68013,0.36,0.2,0.59,Better,Yes,0.96,12,
2021,California,Kern,Clostridioides difficile Infection (CDI),120000555,Encompass Health Rehabilitation Hospital of Bakersfield,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,1,7.57,21963,0.13,0.01,0.65,Better,Yes,0.51,12,
2021,California,Kern,Clostridioides difficile Infection (CDI),120000319,"Good Samaritan Hospital, Bakersfield",Acute Care Hospital,"Community, <125 Beds",0,1.4,6349,0,0,2.15,Same,Yes,0.6,12,
2021,California,Kern,Clostridioides difficile Infection (CDI),120000342,Kern Medical Center,Acute Care Hospital,Major Teaching,12,31.04,55605,0.39,0.21,0.66,Better,Yes,0.43,12,
2021,California,Kern,Clostridioides difficile Infection (CDI),120000344,Kern Valley Healthcare District,Critical Access Hospital,Critical Access,0,0.75,2225,0,0,4.912,Same,Yes,1.41,12,¥ See Data Dictionary
2021,California,Kern,Clostridioides difficile Infection (CDI),120000404,Mercy Hospital,Acute Care Hospital,"Community, <125 Beds",2,13.31,25282,0.15,0.03,0.5,Better,Yes,0.75,12,
2021,California,Kern,Clostridioides difficile Infection (CDI),120000701,Mercy Southwest Hospital,Acute Care Hospital,"Community, <125 Beds",0,13.19,25518,0,0,0.23,Better,Yes,0.62,12,
2021,California,Kern,Clostridioides difficile Infection (CDI),120000409,Ridgecrest Regional Hospital,Critical Access Hospital,Critical Access,2,2.79,8134,0.72,0.12,2.37,Same,No,1.09,12,
2021,California,Kings,Clostridioides difficile Infection (CDI),630012960,Adventist Health Hanford,Acute Care Hospital,"Community, 125-250 Beds",5,12.13,31798,0.41,0.15,0.91,Better,Yes,0.85,12,
2021,California,Lake,Clostridioides difficile Infection (CDI),110000044,Adventist Health Clearlake,Critical Access Hospital,Critical Access,0,0.99,4497,0,0,3.714,Same,Yes,0.69,12,¥ See Data Dictionary
2021,California,Lake,Clostridioides difficile Infection (CDI),110000019,Sutter Lakeside Hospital,Critical Access Hospital,Critical Access,0,2.52,6468,0,0,1.19,Same,Yes,3.09,12,
2021,California,Lassen,Clostridioides difficile Infection (CDI),230000008,Banner Lassen Medical Center,Critical Access Hospital,Critical Access,1,1.21,3729,0.83,0.04,4.08,Same,No,0,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000059,Adventist Health Glendale,Acute Care Hospital,Major Teaching,8,42.49,87820,0.19,0.09,0.36,Better,Yes,1.04,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000059,Adventist Health Glendale,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,2.4,6257,0.42,0.02,2.06,Same,Yes,1.04,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000191,Adventist Health White Memorial,Acute Care Hospital,Major Teaching,11,30,64894,0.37,0.19,0.64,Better,Yes,1.15,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000191,Adventist Health White Memorial,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.96,2038,0,0,3.86,Same,Yes,1.62,12,¥ See Data Dictionary
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000005,Alhambra Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",3,8.46,17882,0.35,0.09,0.97,Better,Yes,1.17,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000005,Alhambra Hospital Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.32,2811,0,0,2.27,Same,Yes,1,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000008,Antelope Valley Hospital,Acute Care Hospital,Major Teaching,38,57.43,87538,0.66,0.48,0.9,Better,Yes,1.25,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000014,Barlow Respiratory Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,16,29.5,25601,0.54,0.32,0.86,Better,Yes,1.16,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000012,Beverly Hospital,Acute Care Hospital,"Community, 125-250 Beds",,,,,,,,,1.67,0,¶ See Data Dictionary
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000002,"California Hospital Medical Center, Los Angeles",Acute Care Hospital,Major Teaching,12,38.86,65193,0.31,0.17,0.53,Better,Yes,0.34,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000031,California Rehabilitation Institute,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,23,25.3,48779,0.91,0.59,1.34,Same,No,,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000020,Casa Colina  Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,2,8.83,25255,0.23,0.04,0.75,Better,Yes,1.36,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000020,Casa Colina Hospital,Acute Care Hospital,"Community, <125 Beds",0,3.33,5026,0,0,0.9,Better,Yes,,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000013,Catalina Island Medical Center,Critical Access Hospital,Critical Access,0,0.07,325,,,,,,,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000044,Cedars-Sinai Marina Del Rey Hospital,Acute Care Hospital,"Community, 125-250 Beds",10,10.06,21508,0.99,0.51,1.77,Same,No,1.71,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000004,Cedars-Sinai Medical Center,Acute Care Hospital,Major Teaching,124,147.56,265653,0.84,0.7,1,Same,No,1.36,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000022,Centinela Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,37.71,62792,0.05,0.01,0.18,Better,Yes,0.98,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000022,Centinela Hospital Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,2.32,3695,0,0,1.29,Same,Yes,0.42,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000034,Children's Hospital Los Angeles,Acute Care Hospital,Pediatric,51,40.62,92908,1.26,0.95,1.64,Same,No,2.13,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000036,City of Hope Helford Clinical Research Hospital,Acute Care Hospital,"Community, 125-250 Beds",78,76.18,73564,1.02,0.82,1.27,Same,No,1.25,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000038,Coast Plaza Hospital,Acute Care Hospital,"Community, <125 Beds",4,4.05,10771,0.99,0.31,2.39,Same,No,0,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000114,College Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,9.22,25573,0.22,0.04,0.72,Better,Yes,0.46,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000040,Community Hospital of Huntington Park,Acute Care Hospital,"Community, <125 Beds",1,3.37,14702,0.3,0.02,1.46,Same,Yes,0.38,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000158,DOCS Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.18,964,,,,,,,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000053,East Los Angeles Doctors Hospital,Acute Care Hospital,"Community, 125-250 Beds",4,4,9467,1,0.32,2.41,Same,No,0.5,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000056,Emanate Health Foothill Presbyterian Hospital,Acute Care Hospital,Major Teaching,7,9,22377,0.78,0.34,1.54,Same,No,0.87,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000070,Emanate Health Inter-Community Hospital,Acute Care Hospital,Major Teaching,11,14.85,34387,0.74,0.39,1.29,Same,No,0.56,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000132,Emanate Health Queen of the Valley Hospital,Acute Care Hospital,Major Teaching,14,22.99,51826,0.61,0.35,1,Same,Yes,0.26,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000132,Emanate Health Queen of the Valley Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.34,3483,0.75,0.04,3.68,Same,No,2.18,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000054,Encino Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",5,3.82,6747,1.31,0.48,2.9,Same,No,1.02,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000054,Encino Hospital Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.14,2614,0,0,2.63,Same,Yes,,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000058,Garfield Medical Center,Acute Care Hospital,"Community, 125-250 Beds",12,17.5,39010,0.69,0.37,1.17,Same,Yes,1.48,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000058,Garfield Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.83,4759,0.55,0.03,2.69,Same,Yes,3.03,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000093,Glendale Memorial Hospital and Health Center,Acute Care Hospital,"Community, >250 Beds",3,14.07,26935,0.21,0.05,0.58,Better,Yes,1.25,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000093,Glendale Memorial Hospital and Health Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,2.06,5232,0,0,1.45,Same,Yes,1.67,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000068,"Good Samaritan Hospital, Los Angeles",Acute Care Hospital,"Community, >250 Beds",31,30.67,63937,1.01,0.7,1.42,Same,No,1.09,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000068,"Good Samaritan Hospital, Los Angeles",Rehabilitation Hospital or Unit,Rehabilitation Unit,2,3.13,6666,0.64,0.11,2.11,Same,Yes,,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000062,Greater El Monte Community Hospital,Acute Care Hospital,"Community, <125 Beds",1,4.86,8806,0.21,0.01,1.01,Same,Yes,0.38,9,"Incomplete Reporter, interpret with caution"
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000063,Henry Mayo Newhall Hospital,Acute Care Hospital,"Community, >250 Beds",7,24.14,51717,0.29,0.13,0.57,Better,Yes,0.95,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000063,Henry Mayo Newhall Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.28,3339,0,0,2.34,Same,Yes,0,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000065,Hollywood Presbyterian Medical Center,Acute Care Hospital,"Community, >250 Beds",6,25.29,60376,0.24,0.1,0.49,Better,Yes,0.84,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000065,Hollywood Presbyterian Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,2.55,5436,0.39,0.02,1.94,Same,Yes,0.56,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000026,Huntington Hospital,Acute Care Hospital,"Community, >250 Beds",52,84.09,107588,0.62,0.47,0.81,Better,Yes,0.99,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000026,Huntington Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.92,1778,1.09,0.028,6.073,Same,No,,6,¥ See Data Dictionary
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930001543,"Kaiser Foundation Hospital, Baldwin Park",Acute Care Hospital,Major Teaching,12,25.53,39204,0.47,0.26,0.8,Better,Yes,1.2,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000074,"Kaiser Foundation Hospital, Downey",Acute Care Hospital,Major Teaching,19,49.44,73154,0.38,0.24,0.59,Better,Yes,1.14,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000072,"Kaiser Foundation Hospital, Los Angeles",Acute Care Hospital,Major Teaching,32,71.97,111090,0.45,0.31,0.62,Better,Yes,1.57,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000050,"Kaiser Foundation Hospital, Panorama City",Acute Care Hospital,Major Teaching,7,22.2,32781,0.32,0.14,0.62,Better,Yes,1.04,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000071,"Kaiser Foundation Hospital, South Bay",Acute Care Hospital,Major Teaching,14,32.45,52527,0.43,0.25,0.71,Better,Yes,1.94,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000076,"Kaiser Foundation Hospital, West LA",Acute Care Hospital,Major Teaching,15,25.26,41042,0.59,0.35,0.96,Better,Yes,1.51,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000290,"Kaiser Foundation Hospital, Woodland Hills",Acute Care Hospital,Major Teaching,19,24.99,39280,0.76,0.47,1.17,Same,No,1.44,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000912,Keck Hospital of USC,Acute Care Hospital,Major Teaching,45,41.67,85893,1.08,0.8,1.43,Same,No,1.43,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000912,Keck Hospital of USC,Rehabilitation Hospital or Unit,Rehabilitation Unit,7,2.85,4901,2.45,1.07,4.85,Worse,No,0.99,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000033,Kindred Hospital Paramount,Long-Term Acute Care Hospital,Long-Term Acute Care,4,39.8,28803,0.1,0.03,0.24,Better,Yes,0.4,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000144,"Kindred Hospital, Baldwin Park",Long-Term Acute Care Hospital,Long-Term Acute Care,20,32.63,28128,0.61,0.39,0.93,Better,Yes,0.93,12,
2021,California,Los Angeles,Clostridioides difficile Infection (CDI),930000089,"Kindred Hospital, La Mirada",Long-Term Acute Care Hospital,Long-Term Acute Care,14,19.43,14903,0.72,0.41,1.18,Same,No,1.65,12,
